\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),13.13041882,1
Cell 33 rooted in Path (33),4.513984494,1
Cell 5 rooted in Path (5),5.545100993,1
Cell 34 rooted in Path (34),2.772550497,1
Cell 2 rooted in Path (2),17.79151489,1
Cell 31 rooted in Path (31),3.875610685,1
Cell 3 rooted in Path (3),6.912584271,1
Cell 32 rooted in Path (32),3.146501216,1
Cell 1 rooted in Path (1),7.37727065,1
Cell 30 rooted in Path (30),25.12341771,1
Cell 71 rooted in Path (71),3.611187595,1
Cell 72 rooted in Path (72),3.346764506,1
Cell 70 rooted in Path (70),6.429105922,1
Cell 8 rooted in Path (8),2.179544517,1
Cell 9 rooted in Path (9),11.22630548,1
Cell 6 rooted in Path (6),5.507517053,1
Cell 7 rooted in Path (7),1.760225968,1
Cell 28 rooted in Path (28),1.541170708,1
Cell 29 rooted in Path (29),7.57753394,1
Cell 26 rooted in Path (26),8.12517209,1
Cell 27 rooted in Path (27),5.836099942,1
Cell 24 rooted in Path (24),6.338370262,1
Cell 68 rooted in Path (68),3.237236876,1
Cell 25 rooted in Path (25),5.462149223,1
Cell 69 rooted in Path (69),7.131639531,1
Cell 22 rooted in Path (22),2.224912347,1
Cell 66 rooted in Path (66),3.191869046,1
Cell 23 rooted in Path (23),14.72796544,1
Cell 67 rooted in Path (67),6.584001382,1
Cell 20 rooted in Path (20),2.708390697,1
Cell 64 rooted in Path (64),16.32228787,1
Cell 21 rooted in Path (21),2.772550497,1
Cell 65 rooted in Path (65),12.74868421,1
Cell 62 rooted in Path (62),3.410924306,1
Cell 63 rooted in Path (63),3.082341416,1
Cell 60 rooted in Path (60),23.76371832,1
Cell 61 rooted in Path (61),2.334439977,1
Cell 19 rooted in Path (19),2.179544517,1
Cell 17 rooted in Path (17),4.513984494,1
Cell 18 rooted in Path (18),6.565209411,1
Cell 15 rooted in Path (15),24.73067502,1
Cell 59 rooted in Path (59),7.90611683,1
Cell 16 rooted in Path (16),3.939770485,1
Cell 13 rooted in Path (13),3.082341416,1
Cell 57 rooted in Path (57),2.553495237,1
Cell 14 rooted in Path (14),4.294929234,1
Cell 58 rooted in Path (58),15.49465885,1
Cell 11 rooted in Path (11),0.747901439,1
Cell 55 rooted in Path (55),11.49851245,1
Cell 12 rooted in Path (12),1.869753598,1
Cell 56 rooted in Path (56),22.12402806,1
Cell 53 rooted in Path (53),3.082341416,1
Cell 10 rooted in Path (10),6.274210462,1
Cell 54 rooted in Path (54),9.137496618,1
Cell 51 rooted in Path (51),6.009787372,1
Cell 52 rooted in Path (52),3.346764506,1
Cell 50 rooted in Path (50),2.070016887,1
Cell 48 rooted in Path (48),1.431643078,1
Cell 49 rooted in Path (49),2.179544517,1
Cell 46 rooted in Path (46),25.84474329,1
Cell 47 rooted in Path (47),6.383738092,1
Cell 44 rooted in Path (44),10.17639701,1
Cell 45 rooted in Path (45),6.300786321,1
Cell 42 rooted in Path (42),3.282604706,1
Cell 43 rooted in Path (43),5.216518104,1
Cell 40 rooted in Path (40),9.284608189,1
Cell 41 rooted in Path (41),5.307253763,1
Cell 39 rooted in Path (39),11.09798588,1
Cell 37 rooted in Path (37),5.016254814,1
Cell 38 rooted in Path (38),10.74282713,1
Cell 35 rooted in Path (35),3.018181616,1
Cell 36 rooted in Path (36),12.43889329,1
,522.5145814,
