\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),2.663022867,1
Cell 33 rooted in Path (33),8.544490639,1
Cell 5 rooted in Path (5),1.541170708,1
Cell 34 rooted in Path (34),5.480941193,1
Cell 2 rooted in Path (2),11.16214568,1
Cell 31 rooted in Path (31),4.158825745,1
Cell 3 rooted in Path (3),12.92237164,1
Cell 32 rooted in Path (32),9.073336818,1
Cell 1 rooted in Path (1),69.34167378,1
Cell 30 rooted in Path (30),25.44099252,1
Cell 8 rooted in Path (8),24.98731422,1
Cell 9 rooted in Path (9),13.05847513,1
Cell 6 rooted in Path (6),10.14982115,1
Cell 7 rooted in Path (7),11.69099186,1
Cell 28 rooted in Path (28),2.224912347,1
Cell 29 rooted in Path (29),24.1000851,1
Cell 26 rooted in Path (26),8.370803209,1
Cell 27 rooted in Path (27),7.09405559,1
Cell 24 rooted in Path (24),6.757688812,1
Cell 68 rooted in Path (68),5.326045733,1
Cell 25 rooted in Path (25),7.26774302,1
Cell 69 rooted in Path (69),5.571676853,1
Cell 22 rooted in Path (22),3.036973586,1
Cell 66 rooted in Path (66),2.134176687,1
Cell 23 rooted in Path (23),3.811450885,1
Cell 67 rooted in Path (67),2.817918326,1
Cell 20 rooted in Path (20),2.334439977,1
Cell 64 rooted in Path (64),22.16939589,1
Cell 21 rooted in Path (21),1.915121428,1
Cell 65 rooted in Path (65),13.88932834,1
Cell 62 rooted in Path (62),5.152358303,1
Cell 63 rooted in Path (63),19.00410271,1
Cell 60 rooted in Path (60),10.04029352,1
Cell 61 rooted in Path (61),9.401919708,1
Cell 19 rooted in Path (19),4.978670873,1
Cell 17 rooted in Path (17),5.371413563,1
Cell 18 rooted in Path (18),4.204193575,1
Cell 15 rooted in Path (15),8.80112984,1
Cell 59 rooted in Path (59),23.46171129,1
Cell 16 rooted in Path (16),5.480941193,1
Cell 13 rooted in Path (13),12.54842092,1
Cell 57 rooted in Path (57),20.70016887,1
Cell 14 rooted in Path (14),23.86546206,1
Cell 58 rooted in Path (58),3.036973586,1
Cell 11 rooted in Path (11),41.22987451,1
Cell 55 rooted in Path (55),10.02150155,1
Cell 12 rooted in Path (12),2.863286156,1
Cell 56 rooted in Path (56),11.87246317,1
Cell 53 rooted in Path (53),18.03714601,1
Cell 10 rooted in Path (10),12.1103104,1
Cell 54 rooted in Path (54),34.01528321,1
Cell 51 rooted in Path (51),11.64562403,1
Cell 52 rooted in Path (52),23.56345503,1
Cell 50 rooted in Path (50),36.6595141,1
Cell 48 rooted in Path (48),3.146501216,1
Cell 49 rooted in Path (49),27.15585065,1
Cell 46 rooted in Path (46),30.17403227,1
Cell 47 rooted in Path (47),9.228232278,1
Cell 44 rooted in Path (44),10.94309042,1
Cell 45 rooted in Path (45),9.911973917,1
Cell 42 rooted in Path (42),27.66590486,1
Cell 43 rooted in Path (43),12.8847877,1
Cell 40 rooted in Path (40),5.042830673,1
Cell 41 rooted in Path (41),23.59003089,1
Cell 39 rooted in Path (39),10.83356279,1
Cell 37 rooted in Path (37),4.404456864,1
Cell 38 rooted in Path (38),4.513984494,1
Cell 35 rooted in Path (35),4.513984494,1
Cell 36 rooted in Path (36),22.75139379,1
,893.8642252,
