\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),8.370803209,1
Cell 11 rooted in Path (11),4.733039754,1
Cell 5 rooted in Path (5),13.76879263,1
Cell 12 rooted in Path (12),6.145890862,1
Cell 2 rooted in Path (2),5.152358303,1
Cell 3 rooted in Path (3),10.5691397,1
Cell 10 rooted in Path (10),2.289072147,1
Cell 1 rooted in Path (1),28.56091787,1
Cell 8 rooted in Path (8),1.915121428,1
Cell 9 rooted in Path (9),4.313721205,1
Cell 6 rooted in Path (6),1.915121428,1
Cell 7 rooted in Path (7),20.37158598,1
Cell 19 rooted in Path (19),2.708390697,1
Cell 17 rooted in Path (17),5.681204483,1
Cell 18 rooted in Path (18),9.866606087,1
Cell 15 rooted in Path (15),3.766083055,1
Cell 16 rooted in Path (16),15.5931784,1
Cell 13 rooted in Path (13),9.383127738,1
Cell 14 rooted in Path (14),10.4408201,1
,165.5449751,
