\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),4.842567384,1
Cell 33 rooted in Path (33),20.28085032,1
Cell 77 rooted in Path (77),2.663022867,1
Cell 5 rooted in Path (5),1.276747618,1
Cell 34 rooted in Path (34),7.53216611,1
Cell 78 rooted in Path (78),12.63915658,1
Cell 2 rooted in Path (2),41.25322618,1
Cell 31 rooted in Path (31),2.772550497,1
Cell 75 rooted in Path (75),2.863286156,1
Cell 3 rooted in Path (3),7.860749,1
Cell 32 rooted in Path (32),9.383127738,1
Cell 76 rooted in Path (76),2.334439977,1
Cell 73 rooted in Path (73),4.733039754,1
Cell 1 rooted in Path (1),12.14789435,1
Cell 30 rooted in Path (30),1.012324529,1
Cell 74 rooted in Path (74),1.805593798,1
Cell 71 rooted in Path (71),5.106990474,1
Cell 72 rooted in Path (72),4.997462844,1
Cell 70 rooted in Path (70),4.313721205,1
Cell 8 rooted in Path (8),2.817918326,1
Cell 9 rooted in Path (9),4.094665945,1
Cell 6 rooted in Path (6),1.012324529,1
Cell 7 rooted in Path (7),2.489335437,1
Cell 28 rooted in Path (28),3.565819766,1
Cell 29 rooted in Path (29),1.541170708,1
Cell 26 rooted in Path (26),14.48233432,1
Cell 27 rooted in Path (27),29.52009068,1
Cell 24 rooted in Path (24),4.158825745,1
Cell 68 rooted in Path (68),6.648161182,1
Cell 25 rooted in Path (25),19.3326856,1
Cell 69 rooted in Path (69),11.07141002,1
Cell 22 rooted in Path (22),9.209440307,1
Cell 66 rooted in Path (66),2.972813786,1
Cell 23 rooted in Path (23),10.06686938,1
Cell 67 rooted in Path (67),33.93233144,1
Cell 20 rooted in Path (20),7.87954097,1
Cell 64 rooted in Path (64),3.082341416,1
Cell 21 rooted in Path (21),4.578144294,1
Cell 65 rooted in Path (65),11.69099186,1
Cell 62 rooted in Path (62),4.887935214,1
Cell 63 rooted in Path (63),3.282604706,1
Cell 60 rooted in Path (60),2.443967607,1
Cell 61 rooted in Path (61),4.578144294,1
Cell 19 rooted in Path (19),6.738896841,1
Cell 17 rooted in Path (17),6.98452796,1
Cell 18 rooted in Path (18),2.817918326,1
Cell 15 rooted in Path (15),3.894402655,1
Cell 59 rooted in Path (59),25.44099252,1
Cell 16 rooted in Path (16),10.25934878,1
Cell 13 rooted in Path (13),1.805593798,1
Cell 57 rooted in Path (57),17.79151489,1
Cell 14 rooted in Path (14),3.301396676,1
Cell 58 rooted in Path (58),7.177007361,1
Cell 11 rooted in Path (11),2.553495237,1
Cell 55 rooted in Path (55),17.17193305,1
Cell 12 rooted in Path (12),12.1103104,1
Cell 56 rooted in Path (56),2.753758526,1
Cell 53 rooted in Path (53),12.74868421,1
Cell 10 rooted in Path (10),2.443967607,1
Cell 54 rooted in Path (54),7.90611683,1
Cell 51 rooted in Path (51),5.462149223,1
Cell 52 rooted in Path (52),31.33346837,1
Cell 50 rooted in Path (50),11.51730443,1
Cell 48 rooted in Path (48),16.22376832,1
Cell 49 rooted in Path (49),5.261885933,1
Cell 46 rooted in Path (46),2.663022867,1
Cell 47 rooted in Path (47),32.63679185,1
Cell 44 rooted in Path (44),13.14921079,1
Cell 45 rooted in Path (45),12.15567823,1
Cell 42 rooted in Path (42),3.675347396,1
Cell 43 rooted in Path (43),19.49536494,1
Cell 40 rooted in Path (40),4.869143243,1
Cell 84 rooted in Path (84),1.650698338,1
Cell 41 rooted in Path (41),9.027968988,1
Cell 82 rooted in Path (82),3.410924306,1
Cell 83 rooted in Path (83),5.854891913,1
Cell 80 rooted in Path (80),5.390205534,1
Cell 81 rooted in Path (81),2.863286156,1
Cell 39 rooted in Path (39),29.08198016,1
Cell 37 rooted in Path (37),1.431643078,1
Cell 38 rooted in Path (38),9.639766938,1
Cell 35 rooted in Path (35),2.598863067,1
Cell 79 rooted in Path (79),5.635836653,1
Cell 36 rooted in Path (36),5.106990474,1
,733.1948418,
