\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),2.508127407,1
Cell 33 rooted in Path (33),5.771940142,1
Cell 5 rooted in Path (5),4.049298115,1
Cell 34 rooted in Path (34),3.656555425,1
Cell 2 rooted in Path (2),18.2374093,1
Cell 31 rooted in Path (31),2.772550497,1
Cell 3 rooted in Path (3),16.57892707,1
Cell 32 rooted in Path (32),3.720715225,1
Cell 1 rooted in Path (1),33.40348526,1
Cell 30 rooted in Path (30),6.210050662,1
Cell 8 rooted in Path (8),9.602182997,1
Cell 9 rooted in Path (9),6.557425522,1
Cell 6 rooted in Path (6),2.289072147,1
Cell 7 rooted in Path (7),1.960489257,1
Cell 28 rooted in Path (28),2.024649058,1
Cell 29 rooted in Path (29),30.6043589,1
Cell 26 rooted in Path (26),10.87893062,1
Cell 27 rooted in Path (27),0.902796899,1
Cell 24 rooted in Path (24),20.20890663,1
Cell 25 rooted in Path (25),37.51694317,1
Cell 22 rooted in Path (22),14.39938255,1
Cell 23 rooted in Path (23),16.5601351,1
Cell 20 rooted in Path (20),2.598863067,1
Cell 21 rooted in Path (21),2.972813786,1
Cell 19 rooted in Path (19),1.541170708,1
Cell 17 rooted in Path (17),1.850961627,1
Cell 18 rooted in Path (18),4.513984494,1
Cell 15 rooted in Path (15),10.83356279,1
Cell 16 rooted in Path (16),1.586538538,1
Cell 13 rooted in Path (13),3.611187595,1
Cell 14 rooted in Path (14),17.6554114,1
Cell 11 rooted in Path (11),36.4670347,1
Cell 12 rooted in Path (12),6.228842632,1
Cell 10 rooted in Path (10),3.985138315,1
Cell 51 rooted in Path (51),1.915121428,1
Cell 52 rooted in Path (52),10.25934878,1
Cell 50 rooted in Path (50),6.300786321,1
Cell 48 rooted in Path (48),5.681204483,1
Cell 49 rooted in Path (49),3.720715225,1
Cell 46 rooted in Path (46),5.216518104,1
Cell 47 rooted in Path (47),4.642304095,1
Cell 44 rooted in Path (44),2.398599777,1
Cell 45 rooted in Path (45),11.18093765,1
Cell 42 rooted in Path (42),7.53216611,1
Cell 43 rooted in Path (43),4.887935214,1
Cell 40 rooted in Path (40),8.434963009,1
Cell 41 rooted in Path (41),14.41817452,1
Cell 39 rooted in Path (39),2.334439977,1
Cell 37 rooted in Path (37),5.790732113,1
Cell 38 rooted in Path (38),7.350694791,1
Cell 35 rooted in Path (35),4.513984494,1
Cell 36 rooted in Path (36),2.882078127,1
,453.7205458,
