\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),25.17656943,1
Cell 33 rooted in Path (33),9.337759908,1
Cell 5 rooted in Path (5),13.27753039,1
Cell 34 rooted in Path (34),6.036363232,1
Cell 2 rooted in Path (2),8.963809188,1
Cell 31 rooted in Path (31),5.307253763,1
Cell 3 rooted in Path (3),6.364946122,1
Cell 32 rooted in Path (32),30.48382319,1
Cell 1 rooted in Path (1),22.79676162,1
Cell 30 rooted in Path (30),7.860749,1
Cell 8 rooted in Path (8),26.2264779,1
Cell 9 rooted in Path (9),8.453754979,1
Cell 6 rooted in Path (6),8.07980426,1
Cell 7 rooted in Path (7),26.70995625,1
Cell 28 rooted in Path (28),7.158215391,1
Cell 29 rooted in Path (29),47.14570203,1
Cell 26 rooted in Path (26),7.84195703,1
Cell 27 rooted in Path (27),19.46878908,1
Cell 24 rooted in Path (24),15.81223366,1
Cell 25 rooted in Path (25),32.68215968,1
Cell 22 rooted in Path (22),24.86677851,1
Cell 23 rooted in Path (23),14.24448709,1
Cell 20 rooted in Path (20),27.46564157,1
Cell 21 rooted in Path (21),12.32936566,1
Cell 60 rooted in Path (60),5.635836653,1
Cell 61 rooted in Path (61),8.434963009,1
Cell 19 rooted in Path (19),10.30471661,1
Cell 17 rooted in Path (17),10.24055681,1
Cell 18 rooted in Path (18),27.22001045,1
Cell 15 rooted in Path (15),9.602182997,1
Cell 59 rooted in Path (59),17.74614706,1
Cell 16 rooted in Path (16),24.86677851,1
Cell 13 rooted in Path (13),10.13102918,1
Cell 57 rooted in Path (57),11.64562403,1
Cell 14 rooted in Path (14),28.4138063,1
Cell 58 rooted in Path (58),14.05200769,1
Cell 11 rooted in Path (11),8.18933189,1
Cell 55 rooted in Path (55),35.61738952,1
Cell 12 rooted in Path (12),26.5440527,1
Cell 56 rooted in Path (56),8.808913729,1
Cell 53 rooted in Path (53),19.10584645,1
Cell 10 rooted in Path (10),9.027968988,1
Cell 54 rooted in Path (54),9.511447338,1
Cell 51 rooted in Path (51),4.933303044,1
Cell 52 rooted in Path (52),6.693529011,1
Cell 50 rooted in Path (50),4.030506145,1
Cell 48 rooted in Path (48),10.6332995,1
Cell 49 rooted in Path (49),37.92525364,1
Cell 46 rooted in Path (46),30.43845536,1
Cell 47 rooted in Path (47),7.37727065,1
Cell 44 rooted in Path (44),6.912584271,1
Cell 45 rooted in Path (45),8.01564446,1
Cell 42 rooted in Path (42),36.49361056,1
Cell 43 rooted in Path (43),9.840030228,1
Cell 40 rooted in Path (40),8.699386099,1
Cell 41 rooted in Path (41),3.656555425,1
Cell 39 rooted in Path (39),0.638373809,1
Cell 37 rooted in Path (37),8.782337869,1
Cell 38 rooted in Path (38),9.292392078,1
Cell 35 rooted in Path (35),19.81616394,1
Cell 36 rooted in Path (36),60.93328663,1
,984.3014816,
