\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),19.91468349,1
Cell 11 rooted in Path (11),28.13059124,1
Cell 5 rooted in Path (5),2.753758526,1
Cell 12 rooted in Path (12),3.082341416,1
Cell 2 rooted in Path (2),1.431643078,1
Cell 3 rooted in Path (3),7.860749,1
Cell 10 rooted in Path (10),15.87639346,1
Cell 1 rooted in Path (1),25.37683272,1
Cell 8 rooted in Path (8),6.429105922,1
Cell 9 rooted in Path (9),4.733039754,1
Cell 6 rooted in Path (6),9.692918657,1
Cell 7 rooted in Path (7),23.59003089,1
Cell 19 rooted in Path (19),2.598863067,1
Cell 17 rooted in Path (17),3.811450885,1
Cell 18 rooted in Path (18),4.294929234,1
Cell 15 rooted in Path (15),4.294929234,1
Cell 16 rooted in Path (16),2.398599777,1
Cell 13 rooted in Path (13),6.784264671,1
Cell 14 rooted in Path (14),3.675347396,1
,176.7304724,
