\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),7.177007361,1
Cell 33 rooted in Path (33),6.338370262,1
Cell 5 rooted in Path (5),2.398599777,1
Cell 34 rooted in Path (34),3.656555425,1
Cell 2 rooted in Path (2),14.49011821,1
Cell 31 rooted in Path (31),2.070016887,1
Cell 3 rooted in Path (3),4.158825745,1
Cell 32 rooted in Path (32),5.307253763,1
Cell 1 rooted in Path (1),11.39999291,1
Cell 30 rooted in Path (30),4.249561405,1
Cell 8 rooted in Path (8),17.61782746,1
Cell 9 rooted in Path (9),3.565819766,1
Cell 6 rooted in Path (6),2.443967607,1
Cell 7 rooted in Path (7),24.2925645,1
Cell 28 rooted in Path (28),3.656555425,1
Cell 29 rooted in Path (29),5.261885933,1
Cell 26 rooted in Path (26),2.663022867,1
Cell 27 rooted in Path (27),4.249561405,1
Cell 24 rooted in Path (24),5.435573363,1
Cell 25 rooted in Path (25),2.882078127,1
Cell 22 rooted in Path (22),4.559352324,1
Cell 23 rooted in Path (23),2.443967607,1
Cell 20 rooted in Path (20),8.18933189,1
Cell 21 rooted in Path (21),6.602793352,1
Cell 19 rooted in Path (19),1.805593798,1
Cell 17 rooted in Path (17),22.87971339,1
Cell 18 rooted in Path (18),13.7234248,1
Cell 15 rooted in Path (15),3.237236876,1
Cell 16 rooted in Path (16),2.927445956,1
Cell 13 rooted in Path (13),3.766083055,1
Cell 14 rooted in Path (14),4.030506145,1
Cell 55 rooted in Path (55),38.31021244,1
Cell 56 rooted in Path (56),5.088198503,1
Cell 53 rooted in Path (53),17.79151489,1
Cell 54 rooted in Path (54),2.644230896,1
Cell 100 rooted in Path (100),3.811450885,1
Cell 51 rooted in Path (51),3.346764506,1
Cell 101 rooted in Path (101),5.088198503,1
Cell 52 rooted in Path (52),4.030506145,1
Cell 102 rooted in Path (102),15.24580354,1
Cell 103 rooted in Path (103),7.222375191,1
Cell 50 rooted in Path (50),2.772550497,1
Cell 104 rooted in Path (104),1.869753598,1
Cell 105 rooted in Path (105),2.443967607,1
Cell 106 rooted in Path (106),3.191869046,1
Cell 107 rooted in Path (107),10.70524319,1
Cell 108 rooted in Path (108),1.012324529,1
Cell 109 rooted in Path (109),5.243093963,1
Cell 48 rooted in Path (48),4.094665945,1
Cell 49 rooted in Path (49),3.456292136,1
Cell 46 rooted in Path (46),3.456292136,1
Cell 47 rooted in Path (47),2.817918326,1
Cell 44 rooted in Path (44),4.933303044,1
Cell 45 rooted in Path (45),2.553495237,1
Cell 42 rooted in Path (42),3.301396676,1
Cell 110 rooted in Path (110),8.215907749,1
Cell 43 rooted in Path (43),9.356551878,1
Cell 111 rooted in Path (111),3.920978515,1
Cell 40 rooted in Path (40),6.538633552,1
Cell 112 rooted in Path (112),2.224912347,1
Cell 41 rooted in Path (41),3.256028846,1
Cell 113 rooted in Path (113),4.294929234,1
Cell 114 rooted in Path (114),4.978670873,1
Cell 115 rooted in Path (115),1.012324529,1
Cell 116 rooted in Path (116),1.805593798,1
Cell 117 rooted in Path (117),2.115384717,1
Cell 118 rooted in Path (118),2.134176687,1
Cell 39 rooted in Path (39),10.49719601,1
Cell 37 rooted in Path (37),3.237236876,1
Cell 38 rooted in Path (38),3.146501216,1
Cell 35 rooted in Path (35),5.152358303,1
Cell 36 rooted in Path (36),2.070016887,1
Cell 77 rooted in Path (77),3.611187595,1
Cell 78 rooted in Path (78),1.431643078,1
Cell 75 rooted in Path (75),8.061012289,1
Cell 76 rooted in Path (76),10.3766603,1
Cell 73 rooted in Path (73),2.972813786,1
Cell 74 rooted in Path (74),6.036363232,1
Cell 71 rooted in Path (71),6.738896841,1
Cell 72 rooted in Path (72),1.012324529,1
Cell 70 rooted in Path (70),8.846497669,1
Cell 68 rooted in Path (68),1.915121428,1
Cell 69 rooted in Path (69),1.760225968,1
Cell 66 rooted in Path (66),3.082341416,1
Cell 67 rooted in Path (67),1.960489257,1
Cell 64 rooted in Path (64),8.654018269,1
Cell 65 rooted in Path (65),7.66048571,1
Cell 62 rooted in Path (62),2.753758526,1
Cell 63 rooted in Path (63),5.654628623,1
Cell 60 rooted in Path (60),4.823775414,1
Cell 61 rooted in Path (61),2.863286156,1
Cell 59 rooted in Path (59),4.578144294,1
Cell 57 rooted in Path (57),2.334439977,1
Cell 58 rooted in Path (58),3.301396676,1
Cell 11 rooted in Path (11),4.559352324,1
Cell 99 rooted in Path (99),7.524382221,1
Cell 12 rooted in Path (12),2.179544517,1
Cell 97 rooted in Path (97),22.04107629,1
Cell 10 rooted in Path (10),2.972813786,1
Cell 98 rooted in Path (98),1.650698338,1
Cell 95 rooted in Path (95),2.753758526,1
Cell 96 rooted in Path (96),8.544490639,1
Cell 93 rooted in Path (93),9.156288589,1
Cell 94 rooted in Path (94),13.40584999,1
Cell 91 rooted in Path (91),2.179544517,1
Cell 92 rooted in Path (92),0.902796899,1
Cell 90 rooted in Path (90),1.915121428,1
Cell 88 rooted in Path (88),14.00663986,1
Cell 89 rooted in Path (89),5.042830673,1
Cell 86 rooted in Path (86),20.79090453,1
Cell 87 rooted in Path (87),53.20085723,1
Cell 84 rooted in Path (84),3.985138315,1
Cell 85 rooted in Path (85),2.663022867,1
Cell 82 rooted in Path (82),1.431643078,1
Cell 83 rooted in Path (83),8.09859623,1
Cell 80 rooted in Path (80),3.127709246,1
Cell 81 rooted in Path (81),1.805593798,1
Cell 79 rooted in Path (79),4.997462844,1
,735.2350586,
