\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),6.164682832,1
Cell 11 rooted in Path (11),4.294929234,1
Cell 5 rooted in Path (5),3.675347396,1
Cell 12 rooted in Path (12),3.191869046,1
Cell 2 rooted in Path (2),16.59771904,1
Cell 3 rooted in Path (3),7.59632591,1
Cell 10 rooted in Path (10),4.359089034,1
Cell 1 rooted in Path (1),21.70148532,1
Cell 8 rooted in Path (8),14.31643078,1
Cell 9 rooted in Path (9),1.650698338,1
Cell 6 rooted in Path (6),2.179544517,1
Cell 7 rooted in Path (7),16.80576622,1
Cell 17 rooted in Path (17),3.766083055,1
Cell 15 rooted in Path (15),3.127709246,1
Cell 16 rooted in Path (16),7.048687761,1
Cell 13 rooted in Path (13),9.840030228,1
Cell 14 rooted in Path (14),5.945627572,1
,132.2620255,
