\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),12.54842092,1
Cell 11 rooted in Path (11),9.976133717,1
Cell 22 rooted in Path (22),13.0772671,1
Cell 5 rooted in Path (5),1.850961627,1
Cell 12 rooted in Path (12),3.565819766,1
Cell 23 rooted in Path (23),6.119315002,1
Cell 2 rooted in Path (2),21.47464617,1
Cell 20 rooted in Path (20),3.392132335,1
Cell 3 rooted in Path (3),15.32875531,1
Cell 10 rooted in Path (10),2.179544517,1
Cell 21 rooted in Path (21),4.933303044,1
Cell 1 rooted in Path (1),32.44753664,1
Cell 8 rooted in Path (8),8.918441358,1
Cell 9 rooted in Path (9),2.443967607,1
Cell 6 rooted in Path (6),17.35340437,1
Cell 7 rooted in Path (7),2.179544517,1
Cell 19 rooted in Path (19),2.772550497,1
Cell 17 rooted in Path (17),2.334439977,1
Cell 18 rooted in Path (18),1.850961627,1
Cell 15 rooted in Path (15),4.623512124,1
Cell 16 rooted in Path (16),10.4408201,1
Cell 13 rooted in Path (13),24.32236455,1
Cell 24 rooted in Path (24),6.957952101,1
Cell 14 rooted in Path (14),22.26013155,1
,233.3519265,
