\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),9.639766938,1
Cell 33 rooted in Path (33),11.23408937,1
Cell 5 rooted in Path (5),3.346764506,1
Cell 34 rooted in Path (34),30.01913681,1
Cell 2 rooted in Path (2),10.3766603,1
Cell 31 rooted in Path (31),5.836099942,1
Cell 3 rooted in Path (3),20.39037795,1
Cell 32 rooted in Path (32),8.854281558,1
Cell 1 rooted in Path (1),29.97376898,1
Cell 30 rooted in Path (30),8.982601159,1
Cell 8 rooted in Path (8),7.66048571,1
Cell 9 rooted in Path (9),4.204193575,1
Cell 6 rooted in Path (6),5.900259743,1
Cell 7 rooted in Path (7),12.01957474,1
Cell 28 rooted in Path (28),1.586538538,1
Cell 29 rooted in Path (29),1.915121428,1
Cell 26 rooted in Path (26),4.714247784,1
Cell 27 rooted in Path (27),6.957952101,1
Cell 24 rooted in Path (24),2.598863067,1
Cell 25 rooted in Path (25),2.489335437,1
Cell 22 rooted in Path (22),3.830242855,1
Cell 23 rooted in Path (23),2.443967607,1
Cell 20 rooted in Path (20),3.985138315,1
Cell 21 rooted in Path (21),2.334439977,1
Cell 19 rooted in Path (19),3.301396676,1
Cell 17 rooted in Path (17),3.036973586,1
Cell 18 rooted in Path (18),2.334439977,1
Cell 15 rooted in Path (15),2.863286156,1
Cell 16 rooted in Path (16),3.346764506,1
Cell 13 rooted in Path (13),25.36904883,1
Cell 14 rooted in Path (14),2.908653986,1
Cell 55 rooted in Path (55),3.036973586,1
Cell 56 rooted in Path (56),8.325435379,1
Cell 53 rooted in Path (53),5.507517053,1
Cell 54 rooted in Path (54),5.133566333,1
Cell 100 rooted in Path (100),4.952095014,1
Cell 51 rooted in Path (51),1.915121428,1
Cell 101 rooted in Path (101),8.14396406,1
Cell 52 rooted in Path (52),5.745364283,1
Cell 102 rooted in Path (102),7.37727065,1
Cell 103 rooted in Path (103),2.817918326,1
Cell 50 rooted in Path (50),1.322115448,1
Cell 104 rooted in Path (104),11.35462508,1
Cell 105 rooted in Path (105),4.049298115,1
Cell 106 rooted in Path (106),6.429105922,1
Cell 107 rooted in Path (107),6.100523032,1
Cell 108 rooted in Path (108),3.237236876,1
Cell 109 rooted in Path (109),5.480941193,1
Cell 48 rooted in Path (48),21.20243919,1
Cell 49 rooted in Path (49),1.850961627,1
Cell 46 rooted in Path (46),3.720715225,1
Cell 47 rooted in Path (47),2.334439977,1
Cell 44 rooted in Path (44),5.307253763,1
Cell 45 rooted in Path (45),2.708390697,1
Cell 42 rooted in Path (42),3.082341416,1
Cell 110 rooted in Path (110),14.13495946,1
Cell 43 rooted in Path (43),3.456292136,1
Cell 111 rooted in Path (111),25.28609706,1
Cell 40 rooted in Path (40),2.508127407,1
Cell 112 rooted in Path (112),6.210050662,1
Cell 41 rooted in Path (41),2.179544517,1
Cell 113 rooted in Path (113),10.61450753,1
Cell 114 rooted in Path (114),2.598863067,1
Cell 115 rooted in Path (115),2.334439977,1
Cell 116 rooted in Path (116),2.908653986,1
Cell 117 rooted in Path (117),1.012324529,1
Cell 118 rooted in Path (118),11.917831,1
Cell 119 rooted in Path (119),5.699996453,1
Cell 39 rooted in Path (39),1.541170708,1
Cell 37 rooted in Path (37),1.057692359,1
Cell 38 rooted in Path (38),3.282604706,1
Cell 35 rooted in Path (35),1.322115448,1
Cell 36 rooted in Path (36),1.121852159,1
Cell 77 rooted in Path (77),7.131639531,1
Cell 78 rooted in Path (78),5.617044683,1
Cell 120 rooted in Path (120),18.06372187,1
Cell 75 rooted in Path (75),3.830242855,1
Cell 121 rooted in Path (121),5.726572312,1
Cell 76 rooted in Path (76),29.67498614,1
Cell 122 rooted in Path (122),2.863286156,1
Cell 73 rooted in Path (73),11.80830337,1
Cell 123 rooted in Path (123),3.018181616,1
Cell 74 rooted in Path (74),2.489335437,1
Cell 124 rooted in Path (124),7.158215391,1
Cell 71 rooted in Path (71),7.003319931,1
Cell 125 rooted in Path (125),8.42717912,1
Cell 72 rooted in Path (72),16.67744662,1
Cell 126 rooted in Path (126),4.468616664,1
Cell 127 rooted in Path (127),6.893792301,1
Cell 70 rooted in Path (70),14.89064479,1
Cell 128 rooted in Path (128),4.778407584,1
Cell 129 rooted in Path (129),2.817918326,1
Cell 68 rooted in Path (68),2.224912347,1
Cell 69 rooted in Path (69),2.243704317,1
Cell 66 rooted in Path (66),2.817918326,1
Cell 67 rooted in Path (67),2.644230896,1
Cell 64 rooted in Path (64),2.024649058,1
Cell 65 rooted in Path (65),4.778407584,1
Cell 62 rooted in Path (62),10.45182818,1
Cell 63 rooted in Path (63),1.541170708,1
Cell 60 rooted in Path (60),2.863286156,1
Cell 61 rooted in Path (61),21.64054971,1
Cell 59 rooted in Path (59),2.553495237,1
Cell 57 rooted in Path (57),14.6903815,1
Cell 58 rooted in Path (58),5.745364283,1
Cell 11 rooted in Path (11),2.882078127,1
Cell 99 rooted in Path (99),1.650698338,1
Cell 12 rooted in Path (12),1.386275248,1
Cell 97 rooted in Path (97),7.84195703,1
Cell 10 rooted in Path (10),2.927445956,1
Cell 98 rooted in Path (98),1.915121428,1
Cell 95 rooted in Path (95),1.431643078,1
Cell 96 rooted in Path (96),3.830242855,1
Cell 93 rooted in Path (93),4.449824694,1
Cell 94 rooted in Path (94),9.337759908,1
Cell 91 rooted in Path (91),16.74160642,1
Cell 92 rooted in Path (92),0.902796899,1
Cell 90 rooted in Path (90),7.040903872,1
Cell 88 rooted in Path (88),22.39623504,1
Cell 89 rooted in Path (89),37.60767883,1
Cell 86 rooted in Path (86),1.276747618,1
Cell 87 rooted in Path (87),10.04029352,1
Cell 84 rooted in Path (84),13.95348814,1
Cell 85 rooted in Path (85),20.10716289,1
Cell 82 rooted in Path (82),6.228842632,1
Cell 83 rooted in Path (83),5.900259743,1
Cell 80 rooted in Path (80),2.927445956,1
Cell 81 rooted in Path (81),3.830242855,1
Cell 79 rooted in Path (79),4.952095014,1
,905.894808,
