\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),2.070016887,1
Cell 11 rooted in Path (11),3.675347396,1
Cell 33 rooted in Path (33),6.300786321,1
Cell 5 rooted in Path (5),2.598863067,1
Cell 12 rooted in Path (12),11.44536074,1
Cell 34 rooted in Path (34),2.772550497,1
Cell 2 rooted in Path (2),3.392132335,1
Cell 31 rooted in Path (31),4.449824694,1
Cell 3 rooted in Path (3),4.933303044,1
Cell 10 rooted in Path (10),12.3027898,1
Cell 32 rooted in Path (32),18.01835404,1
Cell 1 rooted in Path (1),55.13154644,1
Cell 30 rooted in Path (30),6.493265722,1
Cell 8 rooted in Path (8),6.036363232,1
Cell 9 rooted in Path (9),6.274210462,1
Cell 6 rooted in Path (6),15.57438643,1
Cell 7 rooted in Path (7),27.66912906,1
Cell 28 rooted in Path (28),4.094665945,1
Cell 29 rooted in Path (29),12.25742198,1
Cell 26 rooted in Path (26),2.972813786,1
Cell 27 rooted in Path (27),2.289072147,1
Cell 24 rooted in Path (24),4.030506145,1
Cell 25 rooted in Path (25),4.714247784,1
Cell 22 rooted in Path (22),2.379807807,1
Cell 23 rooted in Path (23),2.379807807,1
Cell 20 rooted in Path (20),2.508127407,1
Cell 42 rooted in Path (42),2.753758526,1
Cell 21 rooted in Path (21),6.383738092,1
Cell 40 rooted in Path (40),1.167219988,1
Cell 41 rooted in Path (41),2.334439977,1
Cell 19 rooted in Path (19),24.13766904,1
Cell 17 rooted in Path (17),4.449824694,1
Cell 39 rooted in Path (39),3.127709246,1
Cell 18 rooted in Path (18),5.790732113,1
Cell 15 rooted in Path (15),11.76293554,1
Cell 37 rooted in Path (37),9.473863397,1
Cell 16 rooted in Path (16),2.289072147,1
Cell 38 rooted in Path (38),11.49072857,1
Cell 13 rooted in Path (13),13.23216256,1
Cell 35 rooted in Path (35),4.185401604,1
Cell 14 rooted in Path (14),5.990995402,1
Cell 36 rooted in Path (36),2.334439977,1
,337.6693918,
