\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),11.81931146,1
Cell 33 rooted in Path (33),5.764156253,1
Cell 5 rooted in Path (5),2.289072147,1
Cell 34 rooted in Path (34),6.757688812,1
Cell 2 rooted in Path (2),3.766083055,1
Cell 31 rooted in Path (31),10.86013865,1
Cell 3 rooted in Path (3),22.87971339,1
Cell 32 rooted in Path (32),4.823775414,1
Cell 1 rooted in Path (1),23.82787812,1
Cell 30 rooted in Path (30),24.77604285,1
Cell 8 rooted in Path (8),2.398599777,1
Cell 9 rooted in Path (9),1.431643078,1
Cell 6 rooted in Path (6),3.985138315,1
Cell 7 rooted in Path (7),10.61450753,1
Cell 28 rooted in Path (28),11.75515166,1
Cell 29 rooted in Path (29),9.620974968,1
Cell 26 rooted in Path (26),6.474473752,1
Cell 27 rooted in Path (27),7.31311085,1
Cell 24 rooted in Path (24),14.73574933,1
Cell 25 rooted in Path (25),3.985138315,1
Cell 22 rooted in Path (22),2.817918326,1
Cell 23 rooted in Path (23),4.268353375,1
Cell 20 rooted in Path (20),5.681204483,1
Cell 21 rooted in Path (21),24.49282779,1
Cell 60 rooted in Path (60),3.920978515,1
Cell 19 rooted in Path (19),3.410924306,1
Cell 17 rooted in Path (17),4.468616664,1
Cell 18 rooted in Path (18),3.985138315,1
Cell 15 rooted in Path (15),15.68391406,1
Cell 59 rooted in Path (59),1.650698338,1
Cell 16 rooted in Path (16),2.598863067,1
Cell 13 rooted in Path (13),3.082341416,1
Cell 57 rooted in Path (57),6.364946122,1
Cell 14 rooted in Path (14),11.64562403,1
Cell 58 rooted in Path (58),1.696066168,1
Cell 11 rooted in Path (11),5.416781393,1
Cell 55 rooted in Path (55),2.334439977,1
Cell 12 rooted in Path (12),2.289072147,1
Cell 56 rooted in Path (56),1.960489257,1
Cell 53 rooted in Path (53),2.663022867,1
Cell 10 rooted in Path (10),6.757688812,1
Cell 54 rooted in Path (54),2.070016887,1
Cell 51 rooted in Path (51),4.030506145,1
Cell 52 rooted in Path (52),4.075873974,1
Cell 50 rooted in Path (50),2.708390697,1
Cell 48 rooted in Path (48),3.501659965,1
Cell 49 rooted in Path (49),9.538023197,1
Cell 46 rooted in Path (46),21.61397385,1
Cell 47 rooted in Path (47),4.094665945,1
Cell 44 rooted in Path (44),1.322115448,1
Cell 45 rooted in Path (45),3.082341416,1
Cell 42 rooted in Path (42),3.082341416,1
Cell 43 rooted in Path (43),5.088198503,1
Cell 40 rooted in Path (40),3.656555425,1
Cell 41 rooted in Path (41),25.92769506,1
Cell 39 rooted in Path (39),3.656555425,1
Cell 37 rooted in Path (37),17.5912516,1
Cell 38 rooted in Path (38),1.805593798,1
Cell 35 rooted in Path (35),5.243093963,1
Cell 36 rooted in Path (36),5.371413563,1
,434.5285234,
