\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),38.41651588,1
Cell 33 rooted in Path (33),1.541170708,1
Cell 5 rooted in Path (5),4.559352324,1
Cell 34 rooted in Path (34),4.294929234,1
Cell 2 rooted in Path (2),3.191869046,1
Cell 31 rooted in Path (31),6.648161182,1
Cell 3 rooted in Path (3),10.25934878,1
Cell 32 rooted in Path (32),12.87700381,1
Cell 1 rooted in Path (1),3.392132335,1
Cell 30 rooted in Path (30),9.885398057,1
Cell 8 rooted in Path (8),3.656555425,1
Cell 9 rooted in Path (9),1.586538538,1
Cell 6 rooted in Path (6),7.26774302,1
Cell 7 rooted in Path (7),1.805593798,1
Cell 28 rooted in Path (28),2.289072147,1
Cell 29 rooted in Path (29),15.74807386,1
Cell 26 rooted in Path (26),2.927445956,1
Cell 27 rooted in Path (27),2.224912347,1
Cell 24 rooted in Path (24),19.51415691,1
Cell 25 rooted in Path (25),13.9159042,1
Cell 22 rooted in Path (22),5.106990474,1
Cell 23 rooted in Path (23),11.29046528,1
Cell 20 rooted in Path (20),6.100523032,1
Cell 21 rooted in Path (21),1.805593798,1
Cell 19 rooted in Path (19),12.65794855,1
Cell 17 rooted in Path (17),2.224912347,1
Cell 18 rooted in Path (18),6.867216442,1
Cell 15 rooted in Path (15),3.611187595,1
Cell 16 rooted in Path (16),11.4077768,1
Cell 13 rooted in Path (13),4.604720154,1
Cell 14 rooted in Path (14),2.224912347,1
Cell 55 rooted in Path (55),4.404456864,1
Cell 56 rooted in Path (56),2.334439977,1
Cell 53 rooted in Path (53),3.082341416,1
Cell 54 rooted in Path (54),3.082341416,1
Cell 100 rooted in Path (100),7.51337414,1
Cell 51 rooted in Path (51),4.404456864,1
Cell 101 rooted in Path (101),1.696066168,1
Cell 52 rooted in Path (52),7.022111901,1
Cell 102 rooted in Path (102),5.216518104,1
Cell 50 rooted in Path (50),7.7965892,1
Cell 48 rooted in Path (48),2.398599777,1
Cell 49 rooted in Path (49),1.586538538,1
Cell 46 rooted in Path (46),22.43381898,1
Cell 47 rooted in Path (47),9.492655368,1
Cell 44 rooted in Path (44),3.611187595,1
Cell 45 rooted in Path (45),3.410924306,1
Cell 42 rooted in Path (42),8.01564446,1
Cell 43 rooted in Path (43),13.84396051,1
Cell 40 rooted in Path (40),17.19850891,1
Cell 41 rooted in Path (41),18.75847159,1
Cell 39 rooted in Path (39),2.753758526,1
Cell 37 rooted in Path (37),5.545100993,1
Cell 38 rooted in Path (38),4.559352324,1
Cell 35 rooted in Path (35),2.334439977,1
Cell 36 rooted in Path (36),8.854281558,1
Cell 77 rooted in Path (77),8.891865499,1
Cell 78 rooted in Path (78),1.915121428,1
Cell 75 rooted in Path (75),1.386275248,1
Cell 76 rooted in Path (76),4.294929234,1
Cell 73 rooted in Path (73),2.398599777,1
Cell 74 rooted in Path (74),18.75847159,1
Cell 71 rooted in Path (71),4.797199554,1
Cell 72 rooted in Path (72),4.559352324,1
Cell 70 rooted in Path (70),4.049298115,1
Cell 68 rooted in Path (68),3.456292136,1
Cell 69 rooted in Path (69),3.656555425,1
Cell 66 rooted in Path (66),2.863286156,1
Cell 67 rooted in Path (67),4.559352324,1
Cell 64 rooted in Path (64),7.112847561,1
Cell 65 rooted in Path (65),7.067479731,1
Cell 62 rooted in Path (62),10.38766838,1
Cell 63 rooted in Path (63),4.668879954,1
Cell 60 rooted in Path (60),5.088198503,1
Cell 61 rooted in Path (61),18.14667364,1
Cell 59 rooted in Path (59),2.443967607,1
Cell 57 rooted in Path (57),8.654018269,1
Cell 58 rooted in Path (58),23.37097563,1
Cell 11 rooted in Path (11),8.563282609,1
Cell 99 rooted in Path (99),8.261275579,1
Cell 12 rooted in Path (12),2.334439977,1
Cell 97 rooted in Path (97),18.2374093,1
Cell 10 rooted in Path (10),10.39545227,1
Cell 98 rooted in Path (98),3.784875025,1
Cell 95 rooted in Path (95),2.134176687,1
Cell 96 rooted in Path (96),1.167219988,1
Cell 93 rooted in Path (93),6.803056641,1
Cell 94 rooted in Path (94),6.557425522,1
Cell 91 rooted in Path (91),16.57114318,1
Cell 92 rooted in Path (92),4.978670873,1
Cell 90 rooted in Path (90),2.243704317,1
Cell 88 rooted in Path (88),4.468616664,1
Cell 89 rooted in Path (89),4.733039754,1
Cell 86 rooted in Path (86),11.9819908,1
Cell 87 rooted in Path (87),4.532776465,1
Cell 84 rooted in Path (84),10.5049799,1
Cell 85 rooted in Path (85),2.972813786,1
Cell 82 rooted in Path (82),4.997462844,1
Cell 83 rooted in Path (83),3.565819766,1
Cell 80 rooted in Path (80),1.431643078,1
Cell 81 rooted in Path (81),2.134176687,1
Cell 79 rooted in Path (79),6.164682832,1
,707.3015065,
