\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),10.550347726043857,1
Cell 33 rooted in Path (33),3.6753473955149816,1
Cell 5 rooted in Path (5),9.866606087068392,1
Cell 34 rooted in Path (34),3.9851383149230086,1
Cell 2 rooted in Path (2),21.576389912588773,1
Cell 31 rooted in Path (31),16.71503055821206,1
Cell 3 rooted in Path (3),5.462149222805641,1
Cell 32 rooted in Path (32),3.6111875953555512,1
Cell 1 rooted in Path (1),23.034608850084318,1
Cell 30 rooted in Path (30),3.9851383149229997,1
Cell 8 rooted in Path (8),8.389595179185735,1
Cell 9 rooted in Path (9),6.757688811599078,1
Cell 6 rooted in Path (6),8.38959517918574,1
Cell 7 rooted in Path (7),6.274210462099936,1
Cell 28 rooted in Path (28),7.834173140529108,1
Cell 29 rooted in Path (29),4.88793521376189,1
Cell 26 rooted in Path (26),2.443967606880949,1
Cell 27 rooted in Path (27),1.9151214276094919,1
Cell 24 rooted in Path (24),22.679450100903995,1
Cell 25 rooted in Path (25),3.301396675947532,1
Cell 22 rooted in Path (22),1.9151214276094886,1
Cell 23 rooted in Path (23),2.6630228667443823,1
Cell 20 rooted in Path (20),18.766255475138447,1
Cell 21 rooted in Path (21),3.146501216243527,1
Cell 19 rooted in Path (19),7.86074899991429,1
Cell 17 rooted in Path (17),26.19990203671495,1
Cell 18 rooted in Path (18),8.434963008958043,1
Cell 15 rooted in Path (15),26.12473415516648,1
Cell 16 rooted in Path (16),5.919051712919614,1
Cell 13 rooted in Path (13),14.142743351012289,1
Cell 57 rooted in Path (57),6.164682832168226,1
Cell 14 rooted in Path (14),4.40445686426272,1
Cell 58 rooted in Path (58),13.13041882224168,1
Cell 11 rooted in Path (11),10.066869376544693,1
Cell 55 rooted in Path (55),3.2372368757881245,1
Cell 12 rooted in Path (12),24.09230120862722,1
Cell 56 rooted in Path (56),1.6506983379737679,1
Cell 53 rooted in Path (53),13.651481112515073,1
Cell 10 rooted in Path (10),12.046150604313603,1
Cell 54 rooted in Path (54),2.179544517245219,1
Cell 51 rooted in Path (51),1.1672199884746122,1
Cell 52 rooted in Path (52),5.371413563261048,1
Cell 50 rooted in Path (50),8.106380119162903,1
Cell 48 rooted in Path (48),3.127709245856409,1
Cell 49 rooted in Path (49),24.896578558923448,1
Cell 46 rooted in Path (46),10.085661346931811,1
Cell 47 rooted in Path (47),4.978670873306484,1
Cell 44 rooted in Path (44),5.061622643853016,1
Cell 45 rooted in Path (45),3.392132335492138,1
Cell 42 rooted in Path (42),6.009787372464214,1
Cell 43 rooted in Path (43),14.973596560693705,1
Cell 40 rooted in Path (40),4.313721204718143,1
Cell 41 rooted in Path (41),1.6960661677460633,1
Cell 39 rooted in Path (39),11.600256195588686,1
Cell 37 rooted in Path (37),3.2372368757881214,1
Cell 38 rooted in Path (38),3.191869046015833,1
Cell 35 rooted in Path (35),8.2612755788669,1
Cell 36 rooted in Path (36),3.0369735863118104,1
