\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),7.468006309959728,1
Cell 11 rooted in Path (11),7.2223751907111255,1
Cell 5 rooted in Path (5),18.75847158614041,1
Cell 12 rooted in Path (12),10.742827126522096,1
Cell 2 rooted in Path (2),5.94562757230476,1
Cell 31 rooted in Path (31),2.5534952368126596,1
Cell 3 rooted in Path (3),4.359089034490446,1
Cell 10 rooted in Path (10),56.28319864741915,1
Cell 32 rooted in Path (32),9.48487147850288,1
Cell 1 rooted in Path (1),1.541170708042058,1
Cell 30 rooted in Path (30),7.815381170141993,1
Cell 8 rooted in Path (8),4.97867087330648,1
Cell 9 rooted in Path (9),11.033826075543,1
Cell 6 rooted in Path (6),3.4109243058792433,1
Cell 7 rooted in Path (7),4.714247783670762,1
Cell 28 rooted in Path (28),11.407776795110438,1
Cell 29 rooted in Path (29),23.272456080334866,1
Cell 26 rooted in Path (26),8.499122809117452,1
Cell 27 rooted in Path (27),2.7083906965166733,1
Cell 24 rooted in Path (24),14.006639861695383,1
Cell 25 rooted in Path (25),2.708390696516662,1
Cell 22 rooted in Path (22),31.37883619949774,1
Cell 23 rooted in Path (23),16.915293847688375,1
Cell 20 rooted in Path (20),5.41678139303334,1
Cell 21 rooted in Path (21),24.564771476737327,1
Cell 19 rooted in Path (19),17.545883767893475,1
Cell 17 rooted in Path (17),19.08705447593554,1
Cell 18 rooted in Path (18),16.442823579578285,1
Cell 15 rooted in Path (15),3.766083055059587,1
Cell 16 rooted in Path (16),35.38276648480787,1
Cell 13 rooted in Path (13),5.745364282828486,1
Cell 14 rooted in Path (14),9.466079508115739,1
