\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),12.35594152,1
Cell 11 rooted in Path (11),2.708390697,1
Cell 5 rooted in Path (5),5.590468823,1
Cell 12 rooted in Path (12),1.805593798,1
Cell 2 rooted in Path (2),3.346764506,1
Cell 3 rooted in Path (3),2.553495237,1
Cell 10 rooted in Path (10),5.964419543,1
Cell 1 rooted in Path (1),10.5049799,1
Cell 8 rooted in Path (8),3.018181616,1
Cell 9 rooted in Path (9),12.8847877,1
Cell 6 rooted in Path (6),2.334439977,1
Cell 7 rooted in Path (7),66.91327395,1
Cell 15 rooted in Path (15),2.882078127,1
Cell 13 rooted in Path (13),6.073947173,1
Cell 14 rooted in Path (14),5.726572312,1
,144.6633349,
