\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),16.669662728439775,1
Cell 33 rooted in Path (33),19.06826250554841,1
Cell 5 rooted in Path (5),18.14667363632242,1
Cell 34 rooted in Path (34),16.741606417597232,1
Cell 2 rooted in Path (2),10.94309041599842,1
Cell 31 rooted in Path (31),8.899649388070074,1
Cell 3 rooted in Path (3),12.794052043448476,1
Cell 32 rooted in Path (32),36.58434622166572,1
Cell 1 rooted in Path (1),48.985655575159655,1
Cell 30 rooted in Path (30),20.280850323795324,1
Cell 8 rooted in Path (8),35.78329306376049,1
Cell 9 rooted in Path (9),39.53058414843295,1
Cell 6 rooted in Path (6),4.559352323966745,1
Cell 7 rooted in Path (7),1.915121427609501,1
Cell 28 rooted in Path (28),13.523161512196234,1
Cell 29 rooted in Path (29),9.58339102704554,1
Cell 26 rooted in Path (26),26.87263559430137,1
Cell 27 rooted in Path (27),13.768792631444853,1
Cell 24 rooted in Path (24),26.36258138541702,1
Cell 25 rooted in Path (25),15.018964390465994,1
Cell 22 rooted in Path (22),16.707246669214012,1
Cell 23 rooted in Path (23),18.165465606709525,1
Cell 20 rooted in Path (20),20.855064332839085,1
Cell 21 rooted in Path (21),15.12849202039771,1
Cell 19 rooted in Path (19),13.987847891308274,1
Cell 17 rooted in Path (17),15.665122088667216,1
Cell 18 rooted in Path (18),5.042830673465903,1
Cell 15 rooted in Path (15),24.44745995780754,1
Cell 16 rooted in Path (16),30.884349768609567,1
Cell 13 rooted in Path (13),36.15724378332795,1
Cell 14 rooted in Path (14),16.96066167746067,1
Cell 11 rooted in Path (11),14.59964584112627,1
Cell 12 rooted in Path (12),41.30960208672557,1
Cell 53 rooted in Path (53),4.185401604399308,1
Cell 10 rooted in Path (10),14.09737552123999,1
Cell 51 rooted in Path (51),20.13373875308938,1
Cell 52 rooted in Path (52),20.545273413431076,1
Cell 50 rooted in Path (50),20.152530723476502,1
Cell 48 rooted in Path (48),8.635226298434343,1
Cell 49 rooted in Path (49),6.584001381507951,1
Cell 46 rooted in Path (46),5.745364282828487,1
Cell 47 rooted in Path (47),48.614929047983175,1
Cell 44 rooted in Path (44),12.446677183266216,1
Cell 45 rooted in Path (45),3.282604705560407,1
Cell 42 rooted in Path (42),39.821583097453846,1
Cell 43 rooted in Path (43),16.49597529834864,1
Cell 40 rooted in Path (40),1.9604892573818047,1
Cell 41 rooted in Path (41),41.49107340581474,1
Cell 39 rooted in Path (39),3.3467645057198383,1
Cell 37 rooted in Path (37),0.9027968988388961,1
Cell 38 rooted in Path (38),2.5988630665849586,1
Cell 35 rooted in Path (35),16.851134047528955,1
Cell 36 rooted in Path (36),4.140033774627015,1
