\,Branch length (µm) [Single value],No. of compartments
Cell 55 rooted in Path (55),4.294929234,1
Cell 56 rooted in Path (56),5.571676853,1
Cell 64 rooted in Path (64),4.003930285,1
Cell 65 rooted in Path (65),5.881467772,1
Cell 62 rooted in Path (62),3.173077076,1
Cell 63 rooted in Path (63),8.480330839,1
Cell 60 rooted in Path (60),3.282604706,1
Cell 61 rooted in Path (61),3.237236876,1
Cell 59 rooted in Path (59),5.745364283,1
Cell 57 rooted in Path (57),5.617044683,1
Cell 58 rooted in Path (58),5.352621593,1
,54.6402842,
