\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),2.882078127,1
Cell 33 rooted in Path (33),21.42927834,1
Cell 77 rooted in Path (77),2.972813786,1
Cell 5 rooted in Path (5),12.8847877,1
Cell 34 rooted in Path (34),8.0532284,1
Cell 78 rooted in Path (78),9.711710627,1
Cell 2 rooted in Path (2),55.12053836,1
Cell 31 rooted in Path (31),2.644230896,1
Cell 75 rooted in Path (75),5.352621593,1
Cell 3 rooted in Path (3),12.09151843,1
Cell 32 rooted in Path (32),5.480941193,1
Cell 76 rooted in Path (76),3.237236876,1
Cell 73 rooted in Path (73),9.620974968,1
Cell 1 rooted in Path (1),16.07665675,1
Cell 30 rooted in Path (30),2.224912347,1
Cell 74 rooted in Path (74),3.985138315,1
Cell 71 rooted in Path (71),22.08644412,1
Cell 72 rooted in Path (72),9.027968988,1
Cell 70 rooted in Path (70),46.12236942,1
Cell 8 rooted in Path (8),13.0131073,1
Cell 9 rooted in Path (9),13.63268914,1
Cell 6 rooted in Path (6),13.58732131,1
Cell 7 rooted in Path (7),13.43242585,1
Cell 28 rooted in Path (28),2.972813786,1
Cell 29 rooted in Path (29),3.720715225,1
Cell 26 rooted in Path (26),5.042830673,1
Cell 27 rooted in Path (27),3.656555425,1
Cell 24 rooted in Path (24),15.04554025,1
Cell 68 rooted in Path (68),3.173077076,1
Cell 25 rooted in Path (25),32.58041594,1
Cell 69 rooted in Path (69),3.565819766,1
Cell 22 rooted in Path (22),10.90550648,1
Cell 66 rooted in Path (66),8.963809188,1
Cell 23 rooted in Path (23),14.8187011,1
Cell 67 rooted in Path (67),6.100523032,1
Cell 20 rooted in Path (20),11.07919391,1
Cell 64 rooted in Path (64),15.26459551,1
Cell 21 rooted in Path (21),13.58732131,1
Cell 65 rooted in Path (65),3.237236876,1
Cell 62 rooted in Path (62),7.53216611,1
Cell 63 rooted in Path (63),29.36197103,1
Cell 60 rooted in Path (60),9.292392078,1
Cell 61 rooted in Path (61),5.836099942,1
Cell 19 rooted in Path (19),61.43555695,1
Cell 17 rooted in Path (17),17.24387674,1
Cell 18 rooted in Path (18),14.11616749,1
Cell 15 rooted in Path (15),5.197726133,1
Cell 59 rooted in Path (59),5.171150274,1
Cell 16 rooted in Path (16),33.96991538,1
Cell 13 rooted in Path (13),14.90943676,1
Cell 57 rooted in Path (57),7.860749,1
Cell 14 rooted in Path (14),12.02735863,1
Cell 58 rooted in Path (58),9.220448389,1
Cell 11 rooted in Path (11),37.44177529,1
Cell 55 rooted in Path (55),9.292392078,1
Cell 12 rooted in Path (12),19.48758105,1
Cell 56 rooted in Path (56),3.720715225,1
Cell 53 rooted in Path (53),46.26948099,1
Cell 10 rooted in Path (10),14.11616749,1
Cell 54 rooted in Path (54),29.84544938,1
Cell 51 rooted in Path (51),13.13041882,1
Cell 52 rooted in Path (52),21.27438288,1
Cell 50 rooted in Path (50),8.215907749,1
Cell 48 rooted in Path (48),3.082341416,1
Cell 49 rooted in Path (49),4.294929234,1
Cell 46 rooted in Path (46),2.070016887,1
Cell 47 rooted in Path (47),2.070016887,1
Cell 44 rooted in Path (44),1.850961627,1
Cell 45 rooted in Path (45),5.726572312,1
Cell 42 rooted in Path (42),10.83356279,1
Cell 43 rooted in Path (43),8.416171039,1
Cell 40 rooted in Path (40),15.56660254,1
Cell 41 rooted in Path (41),24.49282779,1
Cell 82 rooted in Path (82),4.423248835,1
Cell 80 rooted in Path (80),3.675347396,1
Cell 81 rooted in Path (81),4.030506145,1
Cell 39 rooted in Path (39),8.434963009,1
Cell 37 rooted in Path (37),4.294929234,1
Cell 38 rooted in Path (38),42.85077279,1
Cell 35 rooted in Path (35),2.024649058,1
Cell 79 rooted in Path (79),8.854281558,1
Cell 36 rooted in Path (36),1.805593798,1
,1053.153229,
