\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),6.757688811599089,1
Cell 33 rooted in Path (33),12.438893294268158,1
Cell 5 rooted in Path (5),5.790732112600781,1
Cell 34 rooted in Path (34),9.137496618320611,1
Cell 2 rooted in Path (2),4.95209501392133,1
Cell 31 rooted in Path (31),3.920978514763581,1
Cell 3 rooted in Path (3),5.106990473625309,1
Cell 32 rooted in Path (32),2.7537585262889577,1
Cell 1 rooted in Path (1),23.47271936981115,1
Cell 30 rooted in Path (30),13.504369541809108,1
Cell 8 rooted in Path (8),3.3013966759475357,1
Cell 9 rooted in Path (9),20.334002042565682,1
Cell 6 rooted in Path (6),10.149821147091235,1
Cell 7 rooted in Path (7),4.268353374945839,1
Cell 28 rooted in Path (28),6.410313951416826,1
Cell 29 rooted in Path (29),7.687061569823159,1
Cell 26 rooted in Path (26),18.728671534364207,1
Cell 27 rooted in Path (27),22.58871444135938,1
Cell 24 rooted in Path (24),2.863286156220686,1
Cell 25 rooted in Path (25),7.834173140529119,1
Cell 22 rooted in Path (22),5.042830673465904,1
Cell 23 rooted in Path (23),2.9728137861523964,1
Cell 20 rooted in Path (20),11.188721535247002,1
Cell 21 rooted in Path (21),7.815381170141987,1
Cell 19 rooted in Path (19),13.239946452173397,1
Cell 17 rooted in Path (17),2.7083906965166693,1
Cell 18 rooted in Path (18),31.08005336147878,1
Cell 15 rooted in Path (15),2.863286156220677,1
Cell 16 rooted in Path (16),24.567995669128294,1
Cell 13 rooted in Path (13),31.79815474883748,1
Cell 14 rooted in Path (14),3.410924305879255,1
Cell 11 rooted in Path (11),5.216518103557039,1
Cell 55 rooted in Path (55),15.320971420875958,1
Cell 12 rooted in Path (12),3.611187595355565,1
Cell 53 rooted in Path (53),4.623512124126164,1
Cell 10 rooted in Path (10),10.066869376544691,1
Cell 54 rooted in Path (54),4.0758739744676,1
Cell 51 rooted in Path (51),5.042830673465904,1
Cell 52 rooted in Path (52),4.049298115082418,1
Cell 50 rooted in Path (50),1.7602259679054884,1
Cell 48 rooted in Path (48),3.50165996542385,1
Cell 49 rooted in Path (49),9.073336818161202,1
Cell 46 rooted in Path (46),2.7537585262889706,1
Cell 47 rooted in Path (47),16.159608519555434,1
Cell 44 rooted in Path (44),6.584001381507956,1
Cell 45 rooted in Path (45),7.48679828034685,1
Cell 42 rooted in Path (42),13.387058022879346,1
Cell 43 rooted in Path (43),6.803056641371385,1
Cell 40 rooted in Path (40),5.0428306734658985,1
Cell 41 rooted in Path (41),6.210050661940519,1
Cell 39 rooted in Path (39),4.687671924285589,1
Cell 37 rooted in Path (37),3.2560288461752425,1
Cell 38 rooted in Path (38),3.9397704851507003,1
Cell 35 rooted in Path (35),8.910657469459128,1
Cell 36 rooted in Path (36),3.675347395514978,1
