\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),12.32936566,1
Cell 33 rooted in Path (33),4.778407584,1
Cell 5 rooted in Path (5),11.76293554,1
Cell 34 rooted in Path (34),6.429105922,1
Cell 2 rooted in Path (2),22.90628925,1
Cell 31 rooted in Path (31),19.7176444,1
Cell 3 rooted in Path (3),10.70524319,1
Cell 32 rooted in Path (32),25.47857646,1
Cell 1 rooted in Path (1),42.68486925,1
Cell 30 rooted in Path (30),12.8847877,1
Cell 8 rooted in Path (8),6.784264671,1
Cell 9 rooted in Path (9),26.0339985,1
Cell 6 rooted in Path (6),11.917831,1
Cell 7 rooted in Path (7),10.76940299,1
Cell 28 rooted in Path (28),23.29124805,1
Cell 29 rooted in Path (29),22.09422801,1
Cell 26 rooted in Path (26),7.75122137,1
Cell 27 rooted in Path (27),15.10970005,1
Cell 24 rooted in Path (24),23.42735154,1
Cell 25 rooted in Path (25),53.8658069,1
Cell 22 rooted in Path (22),12.52962895,1
Cell 23 rooted in Path (23),15.00017242,1
Cell 20 rooted in Path (20),16.14081655,1
Cell 21 rooted in Path (21),16.71503056,1
Cell 19 rooted in Path (19),42.12944722,1
Cell 17 rooted in Path (17),23.53687917,1
Cell 18 rooted in Path (18),40.41458908,1
Cell 15 rooted in Path (15),13.05847513,1
Cell 16 rooted in Path (16),12.65794855,1
Cell 13 rooted in Path (13),27.74107274,1
Cell 14 rooted in Path (14),32.74631948,1
Cell 11 rooted in Path (11),26.64579645,1
Cell 55 rooted in Path (55),3.565819766,1
Cell 12 rooted in Path (12),10.5049799,1
Cell 53 rooted in Path (53),41.87280801,1
Cell 10 rooted in Path (10),5.545100993,1
Cell 54 rooted in Path (54),9.137496618,1
Cell 51 rooted in Path (51),11.31704114,1
Cell 52 rooted in Path (52),39.15985762,1
Cell 50 rooted in Path (50),8.963809188,1
Cell 48 rooted in Path (48),29.18049971,1
Cell 49 rooted in Path (49),29.66397806,1
Cell 46 rooted in Path (46),8.899649388,1
Cell 47 rooted in Path (47),12.63915658,1
Cell 44 rooted in Path (44),28.88950076,1
Cell 45 rooted in Path (45),8.370803209,1
Cell 42 rooted in Path (42),8.808913729,1
Cell 43 rooted in Path (43),13.36826605,1
Cell 40 rooted in Path (40),16.44282358,1
Cell 41 rooted in Path (41),3.346764506,1
Cell 39 rooted in Path (39),7.59632591,1
Cell 37 rooted in Path (37),57.27350701,1
Cell 38 rooted in Path (38),14.40716644,1
Cell 35 rooted in Path (35),43.47035463,1
Cell 36 rooted in Path (36),8.47254695,1
,1070.935624,
