\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),4.623512124,1
Cell 33 rooted in Path (33),2.443967607,1
Cell 5 rooted in Path (5),3.082341416,1
Cell 34 rooted in Path (34),3.611187595,1
Cell 2 rooted in Path (2),10.65987536,1
Cell 31 rooted in Path (31),2.817918326,1
Cell 3 rooted in Path (3),8.29885952,1
Cell 32 rooted in Path (32),2.289072147,1
Cell 1 rooted in Path (1),22.12402806,1
Cell 30 rooted in Path (30),8.480330839,1
Cell 8 rooted in Path (8),4.559352324,1
Cell 9 rooted in Path (9),6.493265722,1
Cell 6 rooted in Path (6),7.550958081,1
Cell 7 rooted in Path (7),11.45314462,1
Cell 28 rooted in Path (28),2.024649058,1
Cell 29 rooted in Path (29),2.708390697,1
Cell 26 rooted in Path (26),14.43696649,1
Cell 27 rooted in Path (27),3.036973586,1
Cell 24 rooted in Path (24),3.501659965,1
Cell 25 rooted in Path (25),1.650698338,1
Cell 22 rooted in Path (22),2.972813786,1
Cell 23 rooted in Path (23),4.887935214,1
Cell 20 rooted in Path (20),3.237236876,1
Cell 21 rooted in Path (21),4.313721205,1
Cell 19 rooted in Path (19),7.20358322,1
Cell 17 rooted in Path (17),4.359089034,1
Cell 18 rooted in Path (18),6.364946122,1
Cell 15 rooted in Path (15),14.02543183,1
Cell 16 rooted in Path (16),9.647550827,1
Cell 13 rooted in Path (13),31.23494882,1
Cell 14 rooted in Path (14),6.319578292,1
Cell 55 rooted in Path (55),5.945627572,1
Cell 56 rooted in Path (56),5.836099942,1
Cell 53 rooted in Path (53),14.41039063,1
Cell 54 rooted in Path (54),15.12070813,1
Cell 100 rooted in Path (100),4.978670873,1
Cell 51 rooted in Path (51),5.809524083,1
Cell 101 rooted in Path (101),2.508127407,1
Cell 52 rooted in Path (52),4.513984494,1
Cell 102 rooted in Path (102),3.346764506,1
Cell 103 rooted in Path (103),14.24448709,1
Cell 50 rooted in Path (50),2.927445956,1
Cell 104 rooted in Path (104),18.83819916,1
Cell 105 rooted in Path (105),23.18172042,1
Cell 106 rooted in Path (106),3.036973586,1
Cell 107 rooted in Path (107),3.720715225,1
Cell 108 rooted in Path (108),9.311184048,1
Cell 109 rooted in Path (109),3.565819766,1
Cell 48 rooted in Path (48),4.094665945,1
Cell 49 rooted in Path (49),10.25934878,1
Cell 46 rooted in Path (46),11.07919391,1
Cell 47 rooted in Path (47),4.933303044,1
Cell 44 rooted in Path (44),6.383738092,1
Cell 45 rooted in Path (45),2.134176687,1
Cell 42 rooted in Path (42),2.334439977,1
Cell 110 rooted in Path (110),13.05069124,1
Cell 43 rooted in Path (43),2.398599777,1
Cell 111 rooted in Path (111),9.137496618,1
Cell 40 rooted in Path (40),2.817918326,1
Cell 112 rooted in Path (112),14.90165287,1
Cell 41 rooted in Path (41),1.431643078,1
Cell 113 rooted in Path (113),7.505590251,1
Cell 114 rooted in Path (114),6.693529011,1
Cell 115 rooted in Path (115),13.38705802,1
Cell 116 rooted in Path (116),15.70270603,1
Cell 117 rooted in Path (117),5.919051713,1
Cell 118 rooted in Path (118),6.712320982,1
Cell 119 rooted in Path (119),3.656555425,1
Cell 39 rooted in Path (39),3.410924306,1
Cell 37 rooted in Path (37),3.410924306,1
Cell 38 rooted in Path (38),2.553495237,1
Cell 35 rooted in Path (35),13.0772671,1
Cell 36 rooted in Path (36),3.146501216,1
Cell 77 rooted in Path (77),5.764156253,1
Cell 78 rooted in Path (78),2.443967607,1
Cell 120 rooted in Path (120),3.720715225,1
Cell 75 rooted in Path (75),5.261885933,1
Cell 121 rooted in Path (121),6.867216442,1
Cell 76 rooted in Path (76),1.541170708,1
Cell 122 rooted in Path (122),7.331902821,1
Cell 73 rooted in Path (73),3.920978515,1
Cell 123 rooted in Path (123),1.541170708,1
Cell 74 rooted in Path (74),4.359089034,1
Cell 124 rooted in Path (124),6.912584271,1
Cell 71 rooted in Path (71),10.78819496,1
Cell 125 rooted in Path (125),3.611187595,1
Cell 72 rooted in Path (72),8.963809188,1
Cell 126 rooted in Path (126),2.598863067,1
Cell 127 rooted in Path (127),2.863286156,1
Cell 70 rooted in Path (70),1.960489257,1
Cell 128 rooted in Path (128),9.054544848,1
Cell 129 rooted in Path (129),7.441430451,1
Cell 68 rooted in Path (68),16.08766483,1
Cell 69 rooted in Path (69),2.817918326,1
Cell 66 rooted in Path (66),64.61641792,1
Cell 130 rooted in Path (130),4.268353375,1
Cell 67 rooted in Path (67),7.70585354,1
Cell 131 rooted in Path (131),3.127709246,1
Cell 64 rooted in Path (64),41.75872069,1
Cell 132 rooted in Path (132),2.753758526,1
Cell 65 rooted in Path (65),3.346764506,1
Cell 133 rooted in Path (133),2.598863067,1
Cell 62 rooted in Path (62),2.134176687,1
Cell 134 rooted in Path (134),1.915121428,1
Cell 63 rooted in Path (63),4.030506145,1
Cell 135 rooted in Path (135),1.167219988,1
Cell 60 rooted in Path (60),1.805593798,1
Cell 136 rooted in Path (136),5.900259743,1
Cell 61 rooted in Path (61),3.392132335,1
Cell 59 rooted in Path (59),9.027968988,1
Cell 57 rooted in Path (57),20.43574578,1
Cell 58 rooted in Path (58),6.410313951,1
Cell 11 rooted in Path (11),3.237236876,1
Cell 99 rooted in Path (99),5.416781393,1
Cell 12 rooted in Path (12),22.41502701,1
Cell 97 rooted in Path (97),16.84335016,1
Cell 10 rooted in Path (10),2.443967607,1
Cell 98 rooted in Path (98),14.83749307,1
Cell 95 rooted in Path (95),6.474473752,1
Cell 96 rooted in Path (96),8.782337869,1
Cell 93 rooted in Path (93),5.526309023,1
Cell 94 rooted in Path (94),8.937233329,1
Cell 91 rooted in Path (91),10.74282713,1
Cell 92 rooted in Path (92),2.863286156,1
Cell 90 rooted in Path (90),4.359089034,1
Cell 88 rooted in Path (88),1.012324529,1
Cell 89 rooted in Path (89),3.036973586,1
Cell 86 rooted in Path (86),4.075873974,1
Cell 87 rooted in Path (87),2.224912347,1
Cell 84 rooted in Path (84),8.608650439,1
Cell 85 rooted in Path (85),3.036973586,1
Cell 82 rooted in Path (82),6.538633552,1
Cell 83 rooted in Path (83),5.152358303,1
Cell 80 rooted in Path (80),2.070016887,1
Cell 81 rooted in Path (81),1.541170708,1
Cell 79 rooted in Path (79),1.431643078,1
,985.6998713,
