\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),2.070016887,1
Cell 33 rooted in Path (33),8.261275579,1
Cell 5 rooted in Path (5),2.553495237,1
Cell 34 rooted in Path (34),2.489335437,1
Cell 2 rooted in Path (2),5.990995402,1
Cell 31 rooted in Path (31),7.286534991,1
Cell 3 rooted in Path (3),5.106990474,1
Cell 32 rooted in Path (32),2.663022867,1
Cell 1 rooted in Path (1),26.95558736,1
Cell 30 rooted in Path (30),4.842567384,1
Cell 8 rooted in Path (8),5.854891913,1
Cell 9 rooted in Path (9),3.456292136,1
Cell 6 rooted in Path (6),5.197726133,1
Cell 7 rooted in Path (7),21.13827939,1
Cell 28 rooted in Path (28),3.656555425,1
Cell 29 rooted in Path (29),6.009787372,1
Cell 26 rooted in Path (26),2.972813786,1
Cell 27 rooted in Path (27),2.334439977,1
Cell 24 rooted in Path (24),2.863286156,1
Cell 25 rooted in Path (25),1.431643078,1
Cell 22 rooted in Path (22),3.036973586,1
Cell 66 rooted in Path (66),2.553495237,1
Cell 23 rooted in Path (23),7.90611683,1
Cell 20 rooted in Path (20),25.54273626,1
Cell 64 rooted in Path (64),4.623512124,1
Cell 21 rooted in Path (21),1.541170708,1
Cell 65 rooted in Path (65),2.334439977,1
Cell 62 rooted in Path (62),3.675347396,1
Cell 63 rooted in Path (63),3.191869046,1
Cell 60 rooted in Path (60),5.197726133,1
Cell 61 rooted in Path (61),7.81538117,1
Cell 19 rooted in Path (19),11.07919391,1
Cell 17 rooted in Path (17),29.72813786,1
Cell 18 rooted in Path (18),2.817918326,1
Cell 15 rooted in Path (15),4.778407584,1
Cell 59 rooted in Path (59),2.753758526,1
Cell 16 rooted in Path (16),4.359089034,1
Cell 13 rooted in Path (13),4.604720154,1
Cell 57 rooted in Path (57),10.16861312,1
Cell 14 rooted in Path (14),1.760225968,1
Cell 58 rooted in Path (58),3.456292136,1
Cell 11 rooted in Path (11),1.650698338,1
Cell 55 rooted in Path (55),14.95480459,1
Cell 12 rooted in Path (12),9.466079508,1
Cell 56 rooted in Path (56),12.02735863,1
Cell 53 rooted in Path (53),22.96266516,1
Cell 10 rooted in Path (10),4.249561405,1
Cell 54 rooted in Path (54),5.900259743,1
Cell 51 rooted in Path (51),8.763545899,1
Cell 52 rooted in Path (52),18.90558316,1
Cell 50 rooted in Path (50),16.77919036,1
Cell 48 rooted in Path (48),7.286534991,1
Cell 49 rooted in Path (49),6.648161182,1
Cell 46 rooted in Path (46),1.805593798,1
Cell 47 rooted in Path (47),3.875610685,1
Cell 44 rooted in Path (44),8.480330839,1
Cell 45 rooted in Path (45),13.76879263,1
Cell 42 rooted in Path (42),3.894402655,1
Cell 43 rooted in Path (43),15.88417735,1
Cell 40 rooted in Path (40),4.423248835,1
Cell 41 rooted in Path (41),2.179544517,1
Cell 39 rooted in Path (39),5.990995402,1
Cell 37 rooted in Path (37),2.443967607,1
Cell 38 rooted in Path (38),7.396062621,1
Cell 35 rooted in Path (35),24.08451732,1
Cell 36 rooted in Path (36),1.760225968,1
,491.6425753,
