\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),5.216518104,1
Cell 33 rooted in Path (33),7.31311085,1
Cell 5 rooted in Path (5),6.821848612,1
Cell 34 rooted in Path (34),8.01564446,1
Cell 2 rooted in Path (2),5.790732113,1
Cell 31 rooted in Path (31),9.027968988,1
Cell 3 rooted in Path (3),4.030506145,1
Cell 32 rooted in Path (32),7.59632591,1
Cell 1 rooted in Path (1),26.99317131,1
Cell 30 rooted in Path (30),9.009177018,1
Cell 8 rooted in Path (8),4.623512124,1
Cell 9 rooted in Path (9),2.553495237,1
Cell 6 rooted in Path (6),2.024649058,1
Cell 7 rooted in Path (7),0.902796899,1
Cell 28 rooted in Path (28),2.927445956,1
Cell 29 rooted in Path (29),32.0204342,1
Cell 26 rooted in Path (26),3.392132335,1
Cell 27 rooted in Path (27),2.708390697,1
Cell 24 rooted in Path (24),2.115384717,1
Cell 25 rooted in Path (25),10.45961207,1
Cell 22 rooted in Path (22),4.952095014,1
Cell 23 rooted in Path (23),6.629369211,1
Cell 20 rooted in Path (20),3.656555425,1
Cell 21 rooted in Path (21),2.070016887,1
Cell 19 rooted in Path (19),0.793269269,1
Cell 17 rooted in Path (17),2.927445956,1
Cell 18 rooted in Path (18),11.80051949,1
Cell 15 rooted in Path (15),1.805593798,1
Cell 16 rooted in Path (16),7.131639531,1
Cell 13 rooted in Path (13),6.009787372,1
Cell 14 rooted in Path (14),3.939770485,1
Cell 55 rooted in Path (55),2.489335437,1
Cell 56 rooted in Path (56),32.17532966,1
Cell 53 rooted in Path (53),5.152358303,1
Cell 54 rooted in Path (54),31.74500303,1
Cell 51 rooted in Path (51),1.386275248,1
Cell 52 rooted in Path (52),15.64955431,1
Cell 50 rooted in Path (50),3.675347396,1
Cell 48 rooted in Path (48),4.997462844,1
Cell 49 rooted in Path (49),5.171150274,1
Cell 46 rooted in Path (46),5.352621593,1
Cell 47 rooted in Path (47),5.416781393,1
Cell 44 rooted in Path (44),3.501659965,1
Cell 45 rooted in Path (45),3.237236876,1
Cell 42 rooted in Path (42),9.647550827,1
Cell 43 rooted in Path (43),34.82734445,1
Cell 40 rooted in Path (40),14.61843781,1
Cell 41 rooted in Path (41),5.990995402,1
Cell 39 rooted in Path (39),3.410924306,1
Cell 37 rooted in Path (37),5.352621593,1
Cell 38 rooted in Path (38),18.98531074,1
Cell 35 rooted in Path (35),6.164682832,1
Cell 36 rooted in Path (36),7.241167161,1
Cell 77 rooted in Path (77),2.708390697,1
Cell 78 rooted in Path (78),3.191869046,1
Cell 75 rooted in Path (75),6.383738092,1
Cell 76 rooted in Path (76),5.590468823,1
Cell 73 rooted in Path (73),2.179544517,1
Cell 74 rooted in Path (74),12.46546915,1
Cell 71 rooted in Path (71),2.863286156,1
Cell 72 rooted in Path (72),6.821848612,1
Cell 70 rooted in Path (70),10.08566135,1
Cell 68 rooted in Path (68),2.553495237,1
Cell 69 rooted in Path (69),33.0561104,1
Cell 66 rooted in Path (66),9.602182997,1
Cell 67 rooted in Path (67),10.6332995,1
Cell 64 rooted in Path (64),3.191869046,1
Cell 65 rooted in Path (65),2.179544517,1
Cell 62 rooted in Path (62),5.681204483,1
Cell 63 rooted in Path (63),11.89125514,1
Cell 60 rooted in Path (60),19.6534846,1
Cell 61 rooted in Path (61),8.12517209,1
Cell 59 rooted in Path (59),1.696066168,1
Cell 57 rooted in Path (57),4.313721205,1
Cell 58 rooted in Path (58),17.64440332,1
Cell 11 rooted in Path (11),3.036973586,1
Cell 12 rooted in Path (12),12.06494257,1
Cell 97 rooted in Path (97),7.46800631,1
Cell 10 rooted in Path (10),10.25934878,1
Cell 98 rooted in Path (98),2.179544517,1
Cell 95 rooted in Path (95),6.912584271,1
Cell 96 rooted in Path (96),1.276747618,1
Cell 93 rooted in Path (93),7.067479731,1
Cell 94 rooted in Path (94),2.553495237,1
Cell 91 rooted in Path (91),5.836099942,1
Cell 92 rooted in Path (92),8.654018269,1
Cell 90 rooted in Path (90),11.01503411,1
Cell 88 rooted in Path (88),4.140033775,1
Cell 89 rooted in Path (89),19.82394783,1
Cell 86 rooted in Path (86),8.280067549,1
Cell 87 rooted in Path (87),7.59632591,1
Cell 84 rooted in Path (84),7.59632591,1
Cell 85 rooted in Path (85),3.173077076,1
Cell 82 rooted in Path (82),14.7545413,1
Cell 83 rooted in Path (83),13.62490525,1
Cell 80 rooted in Path (80),27.09169085,1
Cell 81 rooted in Path (81),5.990995402,1
Cell 79 rooted in Path (79),1.541170708,1
,805.8975123,
