\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),4.140033775,1
Cell 11 rooted in Path (11),4.030506145,1
Cell 5 rooted in Path (5),17.86345858,1
Cell 12 rooted in Path (12),2.289072147,1
Cell 2 rooted in Path (2),18.21861733,1
Cell 3 rooted in Path (3),24.56477148,1
Cell 10 rooted in Path (10),2.379807807,1
Cell 1 rooted in Path (1),11.89125514,1
Cell 8 rooted in Path (8),2.289072147,1
Cell 9 rooted in Path (9),2.489335437,1
Cell 6 rooted in Path (6),21.27438288,1
Cell 7 rooted in Path (7),6.100523032,1
Cell 15 rooted in Path (15),2.070016887,1
Cell 13 rooted in Path (13),2.443967607,1
Cell 14 rooted in Path (14),8.899649388,1
,130.9444698,
