\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),8.370803209,1
Cell 33 rooted in Path (33),8.389595179,1
Cell 5 rooted in Path (5),11.87246317,1
Cell 34 rooted in Path (34),4.687671924,1
Cell 2 rooted in Path (2),9.164072478,1
Cell 31 rooted in Path (31),2.024649058,1
Cell 3 rooted in Path (3),15.94833715,1
Cell 32 rooted in Path (32),5.243093963,1
Cell 1 rooted in Path (1),26.0981583,1
Cell 30 rooted in Path (30),5.900259743,1
Cell 8 rooted in Path (8),11.62683205,1
Cell 9 rooted in Path (9),6.493265722,1
Cell 6 rooted in Path (6),10.04029352,1
Cell 7 rooted in Path (7),3.282604706,1
Cell 28 rooted in Path (28),5.243093963,1
Cell 29 rooted in Path (29),6.009787372,1
Cell 26 rooted in Path (26),4.623512124,1
Cell 27 rooted in Path (27),4.294929234,1
Cell 24 rooted in Path (24),2.070016887,1
Cell 25 rooted in Path (25),6.629369211,1
Cell 22 rooted in Path (22),6.364946122,1
Cell 23 rooted in Path (23),3.191869046,1
Cell 20 rooted in Path (20),7.66048571,1
Cell 21 rooted in Path (21),5.371413563,1
Cell 19 rooted in Path (19),15.77464972,1
Cell 17 rooted in Path (17),4.204193575,1
Cell 18 rooted in Path (18),8.434963009,1
Cell 15 rooted in Path (15),2.289072147,1
Cell 16 rooted in Path (16),6.648161182,1
Cell 13 rooted in Path (13),12.40130935,1
Cell 14 rooted in Path (14),4.751831724,1
Cell 11 rooted in Path (11),6.939160131,1
Cell 55 rooted in Path (55),1.495802878,1
Cell 12 rooted in Path (12),6.738896841,1
Cell 56 rooted in Path (56),2.224912347,1
Cell 53 rooted in Path (53),10.4408201,1
Cell 10 rooted in Path (10),5.435573363,1
Cell 54 rooted in Path (54),1.915121428,1
Cell 51 rooted in Path (51),2.598863067,1
Cell 52 rooted in Path (52),4.158825745,1
Cell 50 rooted in Path (50),11.82709534,1
Cell 48 rooted in Path (48),4.049298115,1
Cell 49 rooted in Path (49),15.87639346,1
Cell 46 rooted in Path (46),5.881467772,1
Cell 47 rooted in Path (47),9.866606087,1
Cell 44 rooted in Path (44),25.69763172,1
Cell 45 rooted in Path (45),4.714247784,1
Cell 42 rooted in Path (42),2.334439977,1
Cell 43 rooted in Path (43),10.22176484,1
Cell 40 rooted in Path (40),4.559352324,1
Cell 41 rooted in Path (41),6.474473752,1
Cell 37 rooted in Path (37),3.811450885,1
Cell 38 rooted in Path (38),3.520451936,1
Cell 35 rooted in Path (35),11.82709534,1
Cell 36 rooted in Path (36),7.259959131,1
,404.9754085,
