\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),5.945627572304797,1
Cell 33 rooted in Path (33),11.69877574413134,1
Cell 5 rooted in Path (5),6.009787372464224,1
Cell 34 rooted in Path (34),18.12788166593529,1
Cell 2 rooted in Path (2),10.24055680663583,1
Cell 31 rooted in Path (31),3.565819765583263,1
Cell 3 rooted in Path (3),17.591251597665778,1
Cell 32 rooted in Path (32),3.018181615924692,1
Cell 1 rooted in Path (1),23.672982659287378,1
Cell 30 rooted in Path (30),5.790732112600775,1
Cell 8 rooted in Path (8),4.906727184149004,1
Cell 9 rooted in Path (9),7.641693740050869,1
Cell 6 rooted in Path (6),6.338370262259351,1
Cell 7 rooted in Path (7),3.7660830550595636,1
Cell 28 rooted in Path (28),4.869143243374777,1
Cell 29 rooted in Path (29),2.8632861562206817,1
Cell 26 rooted in Path (26),2.4439676068809515,1
Cell 27 rooted in Path (27),7.350694791029963,1
Cell 24 rooted in Path (24),7.203583220324002,1
Cell 25 rooted in Path (25),2.9728137861523938,1
Cell 22 rooted in Path (22),6.255418491712802,1
Cell 23 rooted in Path (23),5.352621592873921,1
Cell 20 rooted in Path (20),21.840813002224507,1
Cell 21 rooted in Path (21),12.948947503152496,1
Cell 19 rooted in Path (19),3.456292135651572,1
Cell 17 rooted in Path (17),1.4958028782697625,1
Cell 18 rooted in Path (18),29.09754794131887,1
Cell 15 rooted in Path (15),29.070972081933707,1
Cell 16 rooted in Path (16),19.834955915070413,1
Cell 13 rooted in Path (13),24.41310020942428,1
Cell 14 rooted in Path (14),40.91685939677103,1
Cell 11 rooted in Path (11),7.770013340369693,1
Cell 12 rooted in Path (12),11.052618045930117,1
Cell 10 rooted in Path (10),6.519841581348536,1
Cell 51 rooted in Path (51),7.770013340369696,1
Cell 50 rooted in Path (50),3.3921323354921338,1
Cell 48 rooted in Path (48),16.7979823287586,1
Cell 49 rooted in Path (49),3.5470277951961435,1
Cell 46 rooted in Path (46),4.73303975405788,1
Cell 47 rooted in Path (47),16.431815498189216,1
Cell 44 rooted in Path (44),4.468616664422154,1
Cell 45 rooted in Path (45),5.261885933329331,1
Cell 42 rooted in Path (42),20.545273413431076,1
Cell 43 rooted in Path (43),6.893792300915986,1
Cell 40 rooted in Path (40),3.7207152252872713,1
Cell 41 rooted in Path (41),5.0428306734659,1
Cell 39 rooted in Path (39),6.8030566413713895,1
Cell 37 rooted in Path (37),4.449824694035039,1
Cell 38 rooted in Path (38),7.377270650415133,1
Cell 35 rooted in Path (35),3.8944026553784057,1
Cell 36 rooted in Path (36),8.699386098593765,1
