\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),1.650698338,1
Cell 11 rooted in Path (11),8.325435379,1
Cell 22 rooted in Path (22),1.650698338,1
Cell 5 rooted in Path (5),3.301396676,1
Cell 12 rooted in Path (12),12.02735863,1
Cell 23 rooted in Path (23),2.663022867,1
Cell 2 rooted in Path (2),7.59632591,1
Cell 20 rooted in Path (20),4.513984494,1
Cell 3 rooted in Path (3),2.443967607,1
Cell 10 rooted in Path (10),11.03382608,1
Cell 21 rooted in Path (21),5.571676853,1
Cell 1 rooted in Path (1),33.59596466,1
Cell 8 rooted in Path (8),15.61197037,1
Cell 9 rooted in Path (9),13.14921079,1
Cell 6 rooted in Path (6),14.97359656,1
Cell 7 rooted in Path (7),41.90716776,1
Cell 19 rooted in Path (19),26.21546981,1
Cell 17 rooted in Path (17),1.805593798,1
Cell 18 rooted in Path (18),9.401919708,1
Cell 15 rooted in Path (15),35.22464683,1
Cell 16 rooted in Path (16),14.8187011,1
Cell 13 rooted in Path (13),18.78504745,1
Cell 24 rooted in Path (24),3.656555425,1
Cell 14 rooted in Path (14),23.54466306,1
,313.4688985,
