\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),8.14396406,1
Cell 33 rooted in Path (33),13.980064,1
Cell 5 rooted in Path (5),8.608650439,1
Cell 34 rooted in Path (34),25.78836738,1
Cell 2 rooted in Path (2),9.492655368,1
Cell 31 rooted in Path (31),9.904190028,1
Cell 3 rooted in Path (3),1.960489257,1
Cell 32 rooted in Path (32),7.26774302,1
Cell 1 rooted in Path (1),10.45182818,1
Cell 30 rooted in Path (30),4.468616664,1
Cell 8 rooted in Path (8),2.070016887,1
Cell 9 rooted in Path (9),3.082341416,1
Cell 6 rooted in Path (6),4.359089034,1
Cell 7 rooted in Path (7),3.237236876,1
Cell 28 rooted in Path (28),4.313721205,1
Cell 29 rooted in Path (29),11.05261805,1
Cell 26 rooted in Path (26),11.07141002,1
Cell 27 rooted in Path (27),6.493265722,1
Cell 24 rooted in Path (24),2.334439977,1
Cell 25 rooted in Path (25),11.6002562,1
Cell 22 rooted in Path (22),1.760225968,1
Cell 23 rooted in Path (23),3.830242855,1
Cell 20 rooted in Path (20),22.13181195,1
Cell 21 rooted in Path (21),6.210050662,1
Cell 19 rooted in Path (19),3.830242855,1
Cell 17 rooted in Path (17),6.674737041,1
Cell 18 rooted in Path (18),3.501659965,1
Cell 15 rooted in Path (15),7.35847868,1
Cell 16 rooted in Path (16),2.179544517,1
Cell 13 rooted in Path (13),4.668879954,1
Cell 14 rooted in Path (14),8.344227349,1
Cell 11 rooted in Path (11),16.37866378,1
Cell 12 rooted in Path (12),4.140033775,1
Cell 10 rooted in Path (10),3.127709246,1
Cell 50 rooted in Path (50),4.642304095,1
Cell 48 rooted in Path (48),1.960489257,1
Cell 49 rooted in Path (49),15.721498,1
Cell 46 rooted in Path (46),2.115384717,1
Cell 47 rooted in Path (47),3.392132335,1
Cell 44 rooted in Path (44),7.24895105,1
Cell 45 rooted in Path (45),7.75122137,1
Cell 42 rooted in Path (42),4.249561405,1
Cell 43 rooted in Path (43),3.830242855,1
Cell 40 rooted in Path (40),2.024649058,1
Cell 41 rooted in Path (41),11.69099186,1
Cell 39 rooted in Path (39),7.460222421,1
Cell 37 rooted in Path (37),8.27228366,1
Cell 38 rooted in Path (38),9.757078457,1
Cell 35 rooted in Path (35),1.960489257,1
Cell 36 rooted in Path (36),37.69841449,1
,383.5933867,
