\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),1.586538538,1
Cell 33 rooted in Path (33),17.28924457,1
Cell 5 rooted in Path (5),1.276747618,1
Cell 34 rooted in Path (34),7.70585354,1
Cell 2 rooted in Path (2),15.58539451,1
Cell 31 rooted in Path (31),5.507517053,1
Cell 3 rooted in Path (3),9.639766938,1
Cell 32 rooted in Path (32),20.73775281,1
Cell 1 rooted in Path (1),23.34439977,1
Cell 30 rooted in Path (30),27.20444268,1
Cell 8 rooted in Path (8),1.760225968,1
Cell 9 rooted in Path (9),10.5691397,1
Cell 6 rooted in Path (6),15.98592109,1
Cell 7 rooted in Path (7),14.64501367,1
Cell 28 rooted in Path (28),1.276747618,1
Cell 29 rooted in Path (29),2.972813786,1
Cell 26 rooted in Path (26),0.37395072,1
Cell 27 rooted in Path (27),5.326045733,1
Cell 24 rooted in Path (24),19.18557402,1
Cell 25 rooted in Path (25),13.56852934,1
Cell 22 rooted in Path (22),15.81223366,1
Cell 23 rooted in Path (23),1.696066168,1
Cell 20 rooted in Path (20),4.842567384,1
Cell 21 rooted in Path (21),2.443967607,1
Cell 19 rooted in Path (19),8.234699719,1
Cell 17 rooted in Path (17),22.72481793,1
Cell 18 rooted in Path (18),6.629369211,1
Cell 15 rooted in Path (15),3.501659965,1
Cell 16 rooted in Path (16),7.788805311,1
Cell 13 rooted in Path (13),13.96127203,1
Cell 14 rooted in Path (14),3.784875025,1
Cell 11 rooted in Path (11),3.766083055,1
Cell 12 rooted in Path (12),13.54195348,1
Cell 10 rooted in Path (10),10.22176484,1
Cell 51 rooted in Path (51),0.37395072,1
Cell 50 rooted in Path (50),3.018181616,1
Cell 48 rooted in Path (48),2.882078127,1
Cell 49 rooted in Path (49),2.817918326,1
Cell 46 rooted in Path (46),3.301396676,1
Cell 47 rooted in Path (47),3.036973586,1
Cell 44 rooted in Path (44),2.663022867,1
Cell 45 rooted in Path (45),3.082341416,1
Cell 42 rooted in Path (42),3.127709246,1
Cell 43 rooted in Path (43),3.018181616,1
Cell 40 rooted in Path (40),2.508127407,1
Cell 41 rooted in Path (41),4.185401604,1
Cell 39 rooted in Path (39),12.51083698,1
Cell 37 rooted in Path (37),1.541170708,1
Cell 38 rooted in Path (38),8.808913729,1
Cell 35 rooted in Path (35),1.960489257,1
Cell 36 rooted in Path (36),7.81538117,1
,401.1438301,
