\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),6.8860084119179215,1
Cell 33 rooted in Path (33),2.7083906965166764,1
Cell 5 rooted in Path (5),1.9151214276094986,1
Cell 34 rooted in Path (34),4.094665944854717,1
Cell 2 rooted in Path (2),7.59632591027858,1
Cell 31 rooted in Path (31),3.191869046015828,1
Cell 3 rooted in Path (3),15.694922140443389,1
Cell 32 rooted in Path (32),12.748684213676196,1
Cell 1 rooted in Path (1),14.527702151968807,1
Cell 30 rooted in Path (30),7.286534990870543,1
Cell 8 rooted in Path (8),3.45629213565156,1
Cell 9 rooted in Path (9),7.331902820642831,1
Cell 6 rooted in Path (6),20.299642294182465,1
Cell 7 rooted in Path (7),12.265205864177048,1
Cell 28 rooted in Path (28),12.193262175019548,1
Cell 29 rooted in Path (29),1.8055937976777863,1
Cell 26 rooted in Path (26),10.56913969643096,1
Cell 27 rooted in Path (27),2.2249123470175247,1
Cell 24 rooted in Path (24),4.3590890344904345,1
Cell 25 rooted in Path (25),24.084517319629143,1
Cell 22 rooted in Path (22),6.210050661940515,1
Cell 23 rooted in Path (23),3.5016599654238485,1
Cell 20 rooted in Path (20),4.869143243374775,1
Cell 21 rooted in Path (21),5.635836652896772,1
Cell 19 rooted in Path (19),21.64054971274819,1
Cell 17 rooted in Path (17),3.3467645057198383,1
Cell 18 rooted in Path (18),10.066869376544687,1
Cell 15 rooted in Path (15),35.34518254403363,1
Cell 16 rooted in Path (16),3.2372368757881156,1
Cell 13 rooted in Path (13),8.189331889709432,1
Cell 14 rooted in Path (14),14.089591632241932,1
Cell 11 rooted in Path (11),20.76432867329449,1
Cell 12 rooted in Path (12),17.628835538440033,1
Cell 10 rooted in Path (10),1.3221154481786286,1
Cell 48 rooted in Path (48),2.3985997771086476,1
Cell 49 rooted in Path (49),4.030506144695297,1
Cell 46 rooted in Path (46),8.672810239208589,1
Cell 47 rooted in Path (47),3.410924305879256,1
Cell 44 rooted in Path (44),7.989068600233124,1
Cell 45 rooted in Path (45),14.044223802469629,1
Cell 42 rooted in Path (42),9.90419002784262,1
Cell 43 rooted in Path (43),10.924298445611283,1
Cell 40 rooted in Path (40),3.8302428552189873,1
Cell 41 rooted in Path (41),7.705853540210282,1
Cell 39 rooted in Path (39),7.331902820642834,1
Cell 37 rooted in Path (37),4.468616664422149,1
Cell 38 rooted in Path (38),24.00156554908261,1
Cell 35 rooted in Path (35),19.82394783368136,1
Cell 36 rooted in Path (36),1.2767476184063309,1
