\,Branch length (µm) [Single value],No. of compartments
Cell 163 rooted in Path (163),6.939160131,1
Cell 164 rooted in Path (164),5.307253763,1
Cell 165 rooted in Path (165),10.53155576,1
Cell 166 rooted in Path (166),6.939160131,1
Cell 156 rooted in Path (156),10.3766603,1
Cell 157 rooted in Path (157),3.018181616,1
Cell 158 rooted in Path (158),6.410313951,1
Cell 159 rooted in Path (159),6.055155202,1
Cell 160 rooted in Path (160),3.237236876,1
Cell 161 rooted in Path (161),11.82709534,1
Cell 162 rooted in Path (162),3.830242855,1
,74.47201592,
