\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),17.882250546686663,1
Cell 33 rooted in Path (33),1.9604892573817927,1
Cell 5 rooted in Path (5),1.1218521587023231,1
Cell 34 rooted in Path (34),17.927618376458973,1
Cell 2 rooted in Path (2),14.244487091945944,1
Cell 31 rooted in Path (31),33.71327617644699,1
Cell 3 rooted in Path (3),14.380590581262851,1
Cell 32 rooted in Path (32),8.480330838730342,1
Cell 1 rooted in Path (1),55.716768527373574,1
Cell 30 rooted in Path (30),16.322287868257508,1
Cell 8 rooted in Path (8),2.179544517245219,1
Cell 9 rooted in Path (9),2.4893354366532447,1
Cell 6 rooted in Path (6),13.761008742446792,1
Cell 7 rooted in Path (7),2.8179183264483734,1
Cell 28 rooted in Path (28),3.6565554251278654,1
Cell 29 rooted in Path (29),3.811450884831874,1
Cell 26 rooted in Path (26),40.40680518788664,1
Cell 27 rooted in Path (27),14.425958411035126,1
Cell 24 rooted in Path (24),8.21590774909461,1
Cell 25 rooted in Path (25),14.682597611672795,1
Cell 22 rooted in Path (22),5.635836652896773,1
Cell 23 rooted in Path (23),6.255418491712812,1
Cell 20 rooted in Path (20),40.580492617977804,1
Cell 21 rooted in Path (21),20.94579999238369,1
Cell 19 rooted in Path (19),22.022284321313705,1
Cell 17 rooted in Path (17),18.565992185662132,1
Cell 18 rooted in Path (18),32.3989446172664,1
Cell 15 rooted in Path (15),48.72123248552394,1
Cell 16 rooted in Path (16),14.735749330443161,1
Cell 13 rooted in Path (13),29.097547941318908,1
Cell 14 rooted in Path (14),15.702706029441446,1
Cell 11 rooted in Path (11),40.45995690665705,1
Cell 12 rooted in Path (12),8.061012289390597,1
Cell 10 rooted in Path (10),1.9604892573817856,1
Cell 51 rooted in Path (51),25.48636034596327,1
Cell 52 rooted in Path (52),2.4439676068809564,1
Cell 50 rooted in Path (50),37.853309951074024,1
Cell 48 rooted in Path (48),23.03460885008429,1
Cell 49 rooted in Path (49),24.485043898581786,1
Cell 46 rooted in Path (46),16.212760238325806,1
Cell 47 rooted in Path (47),22.003492350926575,1
Cell 44 rooted in Path (44),11.981990804154194,1
Cell 45 rooted in Path (45),37.23372811225794,1
Cell 42 rooted in Path (42),40.72760418868372,1
Cell 43 rooted in Path (43),25.561528227511793,1
Cell 40 rooted in Path (40),19.223157965252437,1
Cell 41 rooted in Path (41),11.207513505634134,1
Cell 39 rooted in Path (39),14.626221700511437,1
Cell 37 rooted in Path (37),17.735138975980735,1
Cell 38 rooted in Path (38),23.197288198786357,1
Cell 35 rooted in Path (35),9.711710627364353,1
Cell 36 rooted in Path (36),25.497368427352374,1
