\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),6.410313951,1
Cell 33 rooted in Path (33),15.56660254,1
Cell 5 rooted in Path (5),2.708390697,1
Cell 34 rooted in Path (34),63.07524721,1
Cell 2 rooted in Path (2),3.082341416,1
Cell 31 rooted in Path (31),12.31057369,1
Cell 3 rooted in Path (3),4.404456864,1
Cell 32 rooted in Path (32),8.061012289,1
Cell 73 rooted in Path (73),4.687671924,1
Cell 1 rooted in Path (1),36.98809699,1
Cell 30 rooted in Path (30),29.07875597,1
Cell 74 rooted in Path (74),20.88164019,1
Cell 71 rooted in Path (71),4.714247784,1
Cell 72 rooted in Path (72),5.881467772,1
Cell 70 rooted in Path (70),5.197726133,1
Cell 8 rooted in Path (8),3.127709246,1
Cell 9 rooted in Path (9),30.65751062,1
Cell 6 rooted in Path (6),7.53216611,1
Cell 7 rooted in Path (7),9.356551878,1
Cell 28 rooted in Path (28),4.559352324,1
Cell 29 rooted in Path (29),26.49868487,1
Cell 26 rooted in Path (26),17.79929878,1
Cell 27 rooted in Path (27),7.31311085,1
Cell 24 rooted in Path (24),8.808913729,1
Cell 68 rooted in Path (68),13.60611328,1
Cell 25 rooted in Path (25),25.87910304,1
Cell 69 rooted in Path (69),8.12517209,1
Cell 22 rooted in Path (22),1.915121428,1
Cell 66 rooted in Path (66),12.44667718,1
Cell 23 rooted in Path (23),13.56852934,1
Cell 67 rooted in Path (67),24.09230121,1
Cell 20 rooted in Path (20),11.4077768,1
Cell 64 rooted in Path (64),7.860749,1
Cell 21 rooted in Path (21),32.81047928,1
Cell 65 rooted in Path (65),23.59003089,1
Cell 62 rooted in Path (62),15.5290186,1
Cell 63 rooted in Path (63),21.86738886,1
Cell 60 rooted in Path (60),6.009787372,1
Cell 61 rooted in Path (61),8.261275579,1
Cell 19 rooted in Path (19),10.41424424,1
Cell 17 rooted in Path (17),6.912584271,1
Cell 18 rooted in Path (18),5.480941193,1
Cell 15 rooted in Path (15),32.59142402,1
Cell 59 rooted in Path (59),4.094665945,1
Cell 16 rooted in Path (16),4.513984494,1
Cell 13 rooted in Path (13),8.480330839,1
Cell 57 rooted in Path (57),16.86992602,1
Cell 14 rooted in Path (14),27.00095519,1
Cell 58 rooted in Path (58),3.875610685,1
Cell 11 rooted in Path (11),24.44745996,1
Cell 55 rooted in Path (55),7.59632591,1
Cell 12 rooted in Path (12),10.08566135,1
Cell 56 rooted in Path (56),5.507517053,1
Cell 53 rooted in Path (53),15.17385985,1
Cell 10 rooted in Path (10),9.428495567,1
Cell 54 rooted in Path (54),55.64482484,1
Cell 51 rooted in Path (51),15.37412314,1
Cell 52 rooted in Path (52),24.02035752,1
Cell 50 rooted in Path (50),14.38059058,1
Cell 48 rooted in Path (48),52.94421803,1
Cell 49 rooted in Path (49),14.18032729,1
Cell 46 rooted in Path (46),37.70619838,1
Cell 47 rooted in Path (47),21.31975071,1
Cell 44 rooted in Path (44),4.578144294,1
Cell 45 rooted in Path (45),6.712320982,1
Cell 42 rooted in Path (42),45.8767383,1
Cell 43 rooted in Path (43),4.933303044,1
Cell 40 rooted in Path (40),2.179544517,1
Cell 41 rooted in Path (41),2.070016887,1
Cell 39 rooted in Path (39),6.119315002,1
Cell 37 rooted in Path (37),6.784264671,1
Cell 38 rooted in Path (38),15.01896439,1
Cell 35 rooted in Path (35),13.21337059,1
Cell 36 rooted in Path (36),17.15314108,1
,1118.354869,
