\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),4.294929234,1
Cell 33 rooted in Path (33),18.01057015,1
Cell 77 rooted in Path (77),2.243704317,1
Cell 5 rooted in Path (5),3.675347396,1
Cell 34 rooted in Path (34),11.58146423,1
Cell 78 rooted in Path (78),7.331902821,1
Cell 2 rooted in Path (2),4.030506145,1
Cell 31 rooted in Path (31),6.210050662,1
Cell 75 rooted in Path (75),6.410313951,1
Cell 3 rooted in Path (3),10.24055681,1
Cell 32 rooted in Path (32),2.972813786,1
Cell 76 rooted in Path (76),5.462149223,1
Cell 73 rooted in Path (73),4.359089034,1
Cell 1 rooted in Path (1),25.82595132,1
Cell 30 rooted in Path (30),12.96773947,1
Cell 74 rooted in Path (74),4.404456864,1
Cell 71 rooted in Path (71),6.164682832,1
Cell 72 rooted in Path (72),3.547027795,1
Cell 70 rooted in Path (70),2.179544517,1
Cell 8 rooted in Path (8),30.12866444,1
Cell 9 rooted in Path (9),4.668879954,1
Cell 6 rooted in Path (6),5.945627572,1
Cell 7 rooted in Path (7),11.27167331,1
Cell 28 rooted in Path (28),9.775870428,1
Cell 29 rooted in Path (29),58.09657633,1
Cell 26 rooted in Path (26),7.086271701,1
Cell 27 rooted in Path (27),42.1404553,1
Cell 24 rooted in Path (24),15.90619351,1
Cell 68 rooted in Path (68),3.784875025,1
Cell 25 rooted in Path (25),6.493265722,1
Cell 69 rooted in Path (69),2.224912347,1
Cell 22 rooted in Path (22),23.96398161,1
Cell 66 rooted in Path (66),6.848424471,1
Cell 23 rooted in Path (23),17.3987722,1
Cell 67 rooted in Path (67),9.073336818,1
Cell 20 rooted in Path (20),3.346764506,1
Cell 64 rooted in Path (64),3.082341416,1
Cell 21 rooted in Path (21),2.753758526,1
Cell 65 rooted in Path (65),8.434963009,1
Cell 62 rooted in Path (62),16.14081655,1
Cell 63 rooted in Path (63),7.022111901,1
Cell 60 rooted in Path (60),3.392132335,1
Cell 61 rooted in Path (61),9.620974968,1
Cell 19 rooted in Path (19),0.747901439,1
Cell 17 rooted in Path (17),7.724645511,1
Cell 18 rooted in Path (18),4.075873974,1
Cell 15 rooted in Path (15),4.952095014,1
Cell 59 rooted in Path (59),2.489335437,1
Cell 16 rooted in Path (16),3.939770485,1
Cell 13 rooted in Path (13),3.127709246,1
Cell 57 rooted in Path (57),7.615117881,1
Cell 14 rooted in Path (14),11.09020199,1
Cell 58 rooted in Path (58),5.480941193,1
Cell 11 rooted in Path (11),12.37473349,1
Cell 55 rooted in Path (55),24.07350924,1
Cell 12 rooted in Path (12),15.4648588,1
Cell 56 rooted in Path (56),11.73635968,1
Cell 53 rooted in Path (53),9.976133717,1
Cell 10 rooted in Path (10),4.249561405,1
Cell 54 rooted in Path (54),4.887935214,1
Cell 51 rooted in Path (51),21.87839694,1
Cell 52 rooted in Path (52),7.70585354,1
Cell 50 rooted in Path (50),2.817918326,1
Cell 48 rooted in Path (48),4.204193575,1
Cell 49 rooted in Path (49),9.821238257,1
Cell 46 rooted in Path (46),2.663022867,1
Cell 47 rooted in Path (47),5.681204483,1
Cell 44 rooted in Path (44),9.666342798,1
Cell 45 rooted in Path (45),8.744753928,1
Cell 42 rooted in Path (42),4.997462844,1
Cell 43 rooted in Path (43),9.847814117,1
Cell 40 rooted in Path (40),10.80698693,1
Cell 84 rooted in Path (84),8.042220319,1
Cell 41 rooted in Path (41),6.565209411,1
Cell 85 rooted in Path (85),1.805593798,1
Cell 82 rooted in Path (82),5.854891913,1
Cell 83 rooted in Path (83),3.565819766,1
Cell 80 rooted in Path (80),3.611187595,1
Cell 81 rooted in Path (81),2.663022867,1
Cell 39 rooted in Path (39),10.83356279,1
Cell 37 rooted in Path (37),1.696066168,1
Cell 38 rooted in Path (38),19.09483836,1
Cell 35 rooted in Path (35),3.565819766,1
Cell 79 rooted in Path (79),11.16214568,1
Cell 36 rooted in Path (36),22.76240187,1
,784.5790971,
