\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),3.9209785147635783,1
Cell 33 rooted in Path (33),35.719133263601066,1
Cell 5 rooted in Path (5),9.757078457136656,1
Cell 34 rooted in Path (34),3.036973586311811,1
Cell 2 rooted in Path (2),4.997462843693616,1
Cell 31 rooted in Path (31),32.20968940917916,1
Cell 3 rooted in Path (3),4.14003377462701,1
Cell 32 rooted in Path (32),16.91529384768838,1
Cell 1 rooted in Path (1),24.549203698741188,1
Cell 30 rooted in Path (30),3.9209785147635903,1
Cell 8 rooted in Path (8),11.827095344450147,1
Cell 9 rooted in Path (9),5.526309022965074,1
Cell 6 rooted in Path (6),3.7848750254467025,1
Cell 7 rooted in Path (7),16.56013509850806,1
Cell 28 rooted in Path (28),8.0610122893906,1
Cell 29 rooted in Path (29),6.31957829187223,1
Cell 26 rooted in Path (26),14.573069981741082,1
Cell 27 rooted in Path (27),9.065552929163147,1
Cell 24 rooted in Path (24),6.455681781189126,1
Cell 25 rooted in Path (25),4.842567383989595,1
Cell 22 rooted in Path (22),9.18286444809291,1
Cell 23 rooted in Path (23),6.119315002395926,1
Cell 20 rooted in Path (20),9.639766938206884,1
Cell 21 rooted in Path (21),7.377270650415143,1
Cell 19 rooted in Path (19),11.317041135565852,1
Cell 17 rooted in Path (17),19.332685595184138,1
Cell 18 rooted in Path (18),13.47000979342587,1
Cell 15 rooted in Path (15),2.5988630665849595,1
Cell 16 rooted in Path (16),25.104625737397797,1
Cell 13 rooted in Path (13),3.939770485150707,1
Cell 14 rooted in Path (14),3.985138314922993,1
Cell 11 rooted in Path (11),7.177007360938816,1
Cell 12 rooted in Path (12),3.3013966759475464,1
Cell 10 rooted in Path (10),11.324825024563902,1
Cell 51 rooted in Path (51),5.371413563261046,1
Cell 52 rooted in Path (52),5.216518103557035,1
Cell 50 rooted in Path (50),2.1341766874729178,1
Cell 48 rooted in Path (48),15.173859850170013,1
Cell 49 rooted in Path (49),5.016254814080725,1
Cell 46 rooted in Path (46),5.809524082987902,1
Cell 47 rooted in Path (47),4.668879953898461,1
Cell 44 rooted in Path (44),2.4439676068809435,1
Cell 45 rooted in Path (45),11.426568765497557,1
Cell 42 rooted in Path (42),4.797199554217289,1
Cell 43 rooted in Path (43),28.2135430128671,1
Cell 40 rooted in Path (40),16.880934099305144,1
Cell 41 rooted in Path (41),4.030506144695298,1
Cell 39 rooted in Path (39),7.687061569823164,1
Cell 37 rooted in Path (37),35.110559506174084,1
Cell 38 rooted in Path (38),2.0246490575412097,1
Cell 35 rooted in Path (35),5.106990473625318,1
Cell 36 rooted in Path (36),35.67376543382876,1
