\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),7.222375191,1
Cell 11 rooted in Path (11),11.18872154,1
Cell 5 rooted in Path (5),10.67866733,1
Cell 12 rooted in Path (12),10.61450753,1
Cell 2 rooted in Path (2),43.7503455,1
Cell 3 rooted in Path (3),8.544490639,1
Cell 10 rooted in Path (10),1.650698338,1
Cell 1 rooted in Path (1),14.02543183,1
Cell 8 rooted in Path (8),19.46878908,1
Cell 9 rooted in Path (9),3.766083055,1
Cell 6 rooted in Path (6),7.84195703,1
Cell 7 rooted in Path (7),19.37805342,1
Cell 15 rooted in Path (15),14.35401472,1
Cell 13 rooted in Path (13),11.89125514,1
Cell 14 rooted in Path (14),1.696066168,1
,186.0714565,
