\,Branch length (µm) [Single value],No. of compartments
Cell 77 rooted in Path (77),20.24326638,1
Cell 88 rooted in Path (88),5.881467772,1
Cell 78 rooted in Path (78),13.30410625,1
Cell 89 rooted in Path (89),17.42534806,1
Cell 75 rooted in Path (75),15.13627591,1
Cell 86 rooted in Path (86),20.5530573,1
Cell 76 rooted in Path (76),43.09317972,1
Cell 87 rooted in Path (87),9.647550827,1
Cell 73 rooted in Path (73),18.6833037,1
Cell 84 rooted in Path (84),2.553495237,1
Cell 74 rooted in Path (74),1.541170708,1
Cell 85 rooted in Path (85),13.89711223,1
Cell 82 rooted in Path (82),5.397989423,1
Cell 83 rooted in Path (83),9.027968988,1
Cell 80 rooted in Path (80),3.920978515,1
Cell 81 rooted in Path (81),27.91153598,1
Cell 90 rooted in Path (90),3.920978515,1
Cell 79 rooted in Path (79),4.823775414,1
,236.9625609,
