\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),1.9604892573817905,1
Cell 33 rooted in Path (33),37.14299245271336,1
Cell 5 rooted in Path (5),12.722108354290972,1
Cell 34 rooted in Path (34),12.986531443926724,1
Cell 2 rooted in Path (2),21.976916491541388,1
Cell 31 rooted in Path (31),18.44868066673237,1
Cell 3 rooted in Path (3),15.064332220238295,1
Cell 32 rooted in Path (32),3.1277092458564137,1
Cell 1 rooted in Path (1),36.39509101357844,1
Cell 30 rooted in Path (30),36.074292012781385,1
Cell 8 rooted in Path (8),3.565819765583255,1
Cell 9 rooted in Path (9),2.334439976949236,1
Cell 6 rooted in Path (6),7.770013340369703,1
Cell 7 rooted in Path (7),3.1918690460158152,1
Cell 28 rooted in Path (28),7.222375190711133,1
Cell 29 rooted in Path (29),13.632689142127944,1
Cell 26 rooted in Path (26),3.7848750254466963,1
Cell 27 rooted in Path (27),4.714247783670754,1
Cell 24 rooted in Path (24),12.57499678358505,1
Cell 25 rooted in Path (25),5.307253763101635,1
Cell 22 rooted in Path (22),12.922371643767313,1
Cell 23 rooted in Path (23),34.918080105695886,1
Cell 20 rooted in Path (20),10.232772917637764,1
Cell 21 rooted in Path (21),4.313721204718154,1
Cell 60 rooted in Path (60),2.1795445172452172,1
Cell 19 rooted in Path (19),15.611970369896866,1
Cell 17 rooted in Path (17),10.678667326362667,1
Cell 18 rooted in Path (18),2.7725504966761005,1
Cell 15 rooted in Path (15),2.9728137861524084,1
Cell 59 rooted in Path (59),4.249561404558729,1
Cell 16 rooted in Path (16),30.94072567977091,1
Cell 13 rooted in Path (13),2.7537585262889834,1
Cell 57 rooted in Path (57),5.7719401422136665,1
Cell 14 rooted in Path (14),2.4439676068809493,1
Cell 58 rooted in Path (58),12.492045013038513,1
Cell 11 rooted in Path (11),9.337759907796938,1
Cell 55 rooted in Path (55),5.197726133169912,1
Cell 12 rooted in Path (12),1.4316430781103504,1
Cell 56 rooted in Path (56),4.094665944854714,1
Cell 53 rooted in Path (53),3.9851383149230055,1
Cell 10 rooted in Path (10),3.4562921356515446,1
Cell 54 rooted in Path (54),11.76293554429075,1
Cell 51 rooted in Path (51),1.4958028782697572,1
Cell 52 rooted in Path (52),1.8697535978371942,1
Cell 50 rooted in Path (50),3.127709245856404,1
Cell 48 rooted in Path (48),7.505590250733968,1
Cell 49 rooted in Path (49),4.140033774627012,1
Cell 46 rooted in Path (46),3.920978514763581,1
Cell 47 rooted in Path (47),2.6442308963572536,1
Cell 44 rooted in Path (44),5.133566333010499,1
Cell 45 rooted in Path (45),3.4109243058792504,1
Cell 42 rooted in Path (42),21.357334652725342,1
Cell 43 rooted in Path (43),18.76625547513845,1
Cell 40 rooted in Path (40),3.565819765583265,1
Cell 41 rooted in Path (41),14.554278011353967,1
Cell 39 rooted in Path (39),16.552351209509997,1
Cell 37 rooted in Path (37),8.873073528684895,1
Cell 38 rooted in Path (38),19.23416604664149,1
Cell 35 rooted in Path (35),11.762935544290762,1
Cell 36 rooted in Path (36),3.629979565742679,1
