\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),2.663022867,1
Cell 33 rooted in Path (33),14.66380564,1
Cell 5 rooted in Path (5),9.821238257,1
Cell 34 rooted in Path (34),4.404456864,1
Cell 2 rooted in Path (2),4.185401604,1
Cell 31 rooted in Path (31),4.313721205,1
Cell 3 rooted in Path (3),4.204193575,1
Cell 32 rooted in Path (32),21.16485525,1
Cell 1 rooted in Path (1),21.93154866,1
Cell 30 rooted in Path (30),8.12517209,1
Cell 8 rooted in Path (8),12.26520586,1
Cell 9 rooted in Path (9),3.392132335,1
Cell 6 rooted in Path (6),6.976744071,1
Cell 7 rooted in Path (7),4.075873974,1
Cell 28 rooted in Path (28),7.441430451,1
Cell 29 rooted in Path (29),12.1744702,1
Cell 26 rooted in Path (26),3.237236876,1
Cell 27 rooted in Path (27),3.565819766,1
Cell 24 rooted in Path (24),21.51223011,1
Cell 25 rooted in Path (25),6.674737041,1
Cell 22 rooted in Path (22),8.544490639,1
Cell 23 rooted in Path (23),2.443967607,1
Cell 20 rooted in Path (20),10.89772259,1
Cell 21 rooted in Path (21),14.16153532,1
Cell 19 rooted in Path (19),2.817918326,1
Cell 17 rooted in Path (17),3.501659965,1
Cell 18 rooted in Path (18),15.721498,1
Cell 15 rooted in Path (15),3.018181616,1
Cell 16 rooted in Path (16),12.79405204,1
Cell 13 rooted in Path (13),7.860749,1
Cell 57 rooted in Path (57),3.191869046,1
Cell 14 rooted in Path (14),18.93994291,1
Cell 58 rooted in Path (58),3.875610685,1
Cell 11 rooted in Path (11),9.027968988,1
Cell 55 rooted in Path (55),4.906727184,1
Cell 12 rooted in Path (12),2.334439977,1
Cell 56 rooted in Path (56),2.663022867,1
Cell 53 rooted in Path (53),8.09859623,1
Cell 10 rooted in Path (10),2.224912347,1
Cell 54 rooted in Path (54),6.073947173,1
Cell 51 rooted in Path (51),4.030506145,1
Cell 52 rooted in Path (52),6.912584271,1
Cell 50 rooted in Path (50),11.70978383,1
Cell 48 rooted in Path (48),8.234699719,1
Cell 49 rooted in Path (49),3.784875025,1
Cell 46 rooted in Path (46),5.790732113,1
Cell 47 rooted in Path (47),8.654018269,1
Cell 44 rooted in Path (44),3.392132335,1
Cell 45 rooted in Path (45),11.99299889,1
Cell 42 rooted in Path (42),6.931376242,1
Cell 43 rooted in Path (43),14.31643078,1
Cell 40 rooted in Path (40),1.276747618,1
Cell 41 rooted in Path (41),4.377881005,1
Cell 39 rooted in Path (39),5.964419543,1
Cell 37 rooted in Path (37),15.10970005,1
Cell 38 rooted in Path (38),3.830242855,1
Cell 35 rooted in Path (35),8.763545899,1
Cell 36 rooted in Path (36),9.840030228,1
,454.804814,
