\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),7.7965892,1
Cell 33 rooted in Path (33),30.80462219,1
Cell 5 rooted in Path (5),3.392132335,1
Cell 34 rooted in Path (34),6.009787372,1
Cell 2 rooted in Path (2),33.73985204,1
Cell 31 rooted in Path (31),4.823775414,1
Cell 3 rooted in Path (3),10.17639701,1
Cell 32 rooted in Path (32),5.545100993,1
Cell 1 rooted in Path (1),16.35208792,1
Cell 30 rooted in Path (30),5.790732113,1
Cell 8 rooted in Path (8),4.158825745,1
Cell 9 rooted in Path (9),2.289072147,1
Cell 6 rooted in Path (6),5.088198503,1
Cell 7 rooted in Path (7),13.49658565,1
Cell 28 rooted in Path (28),16.45060747,1
Cell 29 rooted in Path (29),5.042830673,1
Cell 26 rooted in Path (26),2.179544517,1
Cell 27 rooted in Path (27),2.024649058,1
Cell 24 rooted in Path (24),10.81477082,1
Cell 25 rooted in Path (25),5.590468823,1
Cell 22 rooted in Path (22),3.875610685,1
Cell 23 rooted in Path (23),2.224912347,1
Cell 20 rooted in Path (20),9.730502598,1
Cell 64 rooted in Path (64),3.939770485,1
Cell 21 rooted in Path (21),6.210050662,1
Cell 65 rooted in Path (65),5.836099942,1
Cell 62 rooted in Path (62),4.249561405,1
Cell 63 rooted in Path (63),12.58600486,1
Cell 60 rooted in Path (60),5.106990474,1
Cell 61 rooted in Path (61),8.480330839,1
Cell 19 rooted in Path (19),7.81538117,1
Cell 17 rooted in Path (17),17.35340437,1
Cell 18 rooted in Path (18),10.78041107,1
Cell 15 rooted in Path (15),1.805593798,1
Cell 59 rooted in Path (59),6.410313951,1
Cell 16 rooted in Path (16),4.933303044,1
Cell 13 rooted in Path (13),4.578144294,1
Cell 57 rooted in Path (57),5.061622644,1
Cell 14 rooted in Path (14),4.933303044,1
Cell 58 rooted in Path (58),3.237236876,1
Cell 11 rooted in Path (11),5.945627572,1
Cell 55 rooted in Path (55),6.228842632,1
Cell 12 rooted in Path (12),40.13459821,1
Cell 56 rooted in Path (56),4.778407584,1
Cell 53 rooted in Path (53),10.72403516,1
Cell 10 rooted in Path (10),5.617044683,1
Cell 54 rooted in Path (54),19.81616394,1
Cell 51 rooted in Path (51),2.334439977,1
Cell 52 rooted in Path (52),4.668879954,1
Cell 50 rooted in Path (50),10.35008444,1
Cell 48 rooted in Path (48),1.805593798,1
Cell 49 rooted in Path (49),2.927445956,1
Cell 46 rooted in Path (46),4.140033775,1
Cell 47 rooted in Path (47),2.817918326,1
Cell 44 rooted in Path (44),7.195799331,1
Cell 45 rooted in Path (45),4.559352324,1
Cell 42 rooted in Path (42),3.766083055,1
Cell 43 rooted in Path (43),12.09151843,1
Cell 40 rooted in Path (40),5.545100993,1
Cell 41 rooted in Path (41),12.22762192,1
Cell 39 rooted in Path (39),9.182864448,1
Cell 37 rooted in Path (37),6.338370262,1
Cell 38 rooted in Path (38),3.437500165,1
Cell 35 rooted in Path (35),5.416781393,1
Cell 36 rooted in Path (36),3.766083055,1
,516.5313699,
