\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),125.1913216,1
Cell 11 rooted in Path (11),23.78251029,1
Cell 5 rooted in Path (5),11.4719366,1
Cell 12 rooted in Path (12),5.854891913,1
Cell 2 rooted in Path (2),3.766083055,1
Cell 3 rooted in Path (3),7.77001334,1
Cell 10 rooted in Path (10),3.173077076,1
Cell 1 rooted in Path (1),23.69177463,1
Cell 8 rooted in Path (8),1.541170708,1
Cell 9 rooted in Path (9),5.216518104,1
Cell 6 rooted in Path (6),10.17639701,1
Cell 7 rooted in Path (7),4.687671924,1
Cell 13 rooted in Path (13),30.41966339,1
,256.7430296,
