\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),4.823775414,1
Cell 33 rooted in Path (33),7.022111901,1
Cell 5 rooted in Path (5),6.693529011,1
Cell 34 rooted in Path (34),4.668879954,1
Cell 2 rooted in Path (2),22.51354656,1
Cell 31 rooted in Path (31),4.377881005,1
Cell 3 rooted in Path (3),7.35847868,1
Cell 32 rooted in Path (32),7.834173141,1
Cell 1 rooted in Path (1),28.01327972,1
Cell 30 rooted in Path (30),6.255418492,1
Cell 8 rooted in Path (8),2.334439977,1
Cell 9 rooted in Path (9),2.289072147,1
Cell 6 rooted in Path (6),2.289072147,1
Cell 7 rooted in Path (7),13.05069124,1
Cell 28 rooted in Path (28),3.501659965,1
Cell 29 rooted in Path (29),15.98592109,1
Cell 26 rooted in Path (26),1.805593798,1
Cell 27 rooted in Path (27),1.960489257,1
Cell 24 rooted in Path (24),2.908653986,1
Cell 25 rooted in Path (25),2.334439977,1
Cell 22 rooted in Path (22),3.127709246,1
Cell 23 rooted in Path (23),1.431643078,1
Cell 20 rooted in Path (20),2.553495237,1
Cell 21 rooted in Path (21),2.334439977,1
Cell 19 rooted in Path (19),2.817918326,1
Cell 17 rooted in Path (17),35.86302064,1
Cell 18 rooted in Path (18),4.094665945,1
Cell 15 rooted in Path (15),1.167219988,1
Cell 16 rooted in Path (16),1.541170708,1
Cell 13 rooted in Path (13),2.070016887,1
Cell 14 rooted in Path (14),1.586538538,1
Cell 55 rooted in Path (55),7.90611683,1
Cell 56 rooted in Path (56),3.784875025,1
Cell 53 rooted in Path (53),6.848424471,1
Cell 54 rooted in Path (54),4.578144294,1
Cell 100 rooted in Path (100),4.887935214,1
Cell 51 rooted in Path (51),19.21537408,1
Cell 101 rooted in Path (101),12.99431533,1
Cell 52 rooted in Path (52),10.47840404,1
Cell 102 rooted in Path (102),4.823775414,1
Cell 103 rooted in Path (103),6.629369211,1
Cell 50 rooted in Path (50),18.89457508,1
Cell 104 rooted in Path (104),4.933303044,1
Cell 105 rooted in Path (105),3.701923255,1
Cell 106 rooted in Path (106),7.68706157,1
Cell 107 rooted in Path (107),3.082341416,1
