\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),5.964419543,1
Cell 33 rooted in Path (33),10.6332995,1
Cell 77 rooted in Path (77),8.47254695,1
Cell 5 rooted in Path (5),2.753758526,1
Cell 34 rooted in Path (34),31.88110652,1
Cell 2 rooted in Path (2),5.061622644,1
Cell 31 rooted in Path (31),1.431643078,1
Cell 75 rooted in Path (75),2.927445956,1
Cell 3 rooted in Path (3),49.35182241,1
Cell 32 rooted in Path (32),30.52919102,1
Cell 76 rooted in Path (76),2.443967607,1
Cell 73 rooted in Path (73),1.167219988,1
Cell 1 rooted in Path (1),32.24404916,1
Cell 30 rooted in Path (30),14.57306998,1
Cell 74 rooted in Path (74),6.666953152,1
Cell 71 rooted in Path (71),1.915121428,1
Cell 72 rooted in Path (72),2.289072147,1
Cell 70 rooted in Path (70),2.289072147,1
Cell 8 rooted in Path (8),3.501659965,1
Cell 9 rooted in Path (9),5.243093963,1
Cell 6 rooted in Path (6),2.398599777,1
Cell 7 rooted in Path (7),3.127709246,1
Cell 28 rooted in Path (28),3.766083055,1
Cell 29 rooted in Path (29),3.611187595,1
Cell 26 rooted in Path (26),2.224912347,1
Cell 27 rooted in Path (27),5.106990474,1
Cell 24 rooted in Path (24),4.094665945,1
Cell 68 rooted in Path (68),4.249561405,1
Cell 25 rooted in Path (25),5.790732113,1
Cell 69 rooted in Path (69),0.638373809,1
Cell 22 rooted in Path (22),3.939770485,1
Cell 66 rooted in Path (66),2.617655037,1
Cell 23 rooted in Path (23),7.70585354,1
Cell 67 rooted in Path (67),3.301396676,1
Cell 20 rooted in Path (20),4.094665945,1
Cell 64 rooted in Path (64),8.891865499,1
Cell 21 rooted in Path (21),22.78119384,1
Cell 65 rooted in Path (65),6.410313951,1
Cell 62 rooted in Path (62),6.383738092,1
Cell 63 rooted in Path (63),3.611187595,1
Cell 60 rooted in Path (60),3.875610685,1
Cell 61 rooted in Path (61),6.009787372,1
Cell 19 rooted in Path (19),5.152358303,1
Cell 17 rooted in Path (17),12.74868421,1
Cell 18 rooted in Path (18),3.146501216,1
Cell 15 rooted in Path (15),8.563282609,1
Cell 59 rooted in Path (59),6.009787372,1
Cell 16 rooted in Path (16),2.224912347,1
Cell 13 rooted in Path (13),2.070016887,1
Cell 57 rooted in Path (57),2.772550497,1
Cell 14 rooted in Path (14),12.09151843,1
Cell 58 rooted in Path (58),3.173077076,1
Cell 11 rooted in Path (11),21.14928747,1
Cell 55 rooted in Path (55),3.939770485,1
Cell 12 rooted in Path (12),22.01450043,1
Cell 56 rooted in Path (56),2.289072147,1
Cell 53 rooted in Path (53),2.443967607,1
Cell 10 rooted in Path (10),4.294929234,1
Cell 54 rooted in Path (54),20.52648144,1
Cell 51 rooted in Path (51),2.224912347,1
Cell 52 rooted in Path (52),1.541170708,1
Cell 50 rooted in Path (50),21.40270248,1
Cell 48 rooted in Path (48),12.48426112,1
Cell 49 rooted in Path (49),3.985138315,1
Cell 46 rooted in Path (46),3.784875025,1
Cell 47 rooted in Path (47),22.96266516,1
Cell 44 rooted in Path (44),3.656555425,1
Cell 45 rooted in Path (45),6.036363232,1
Cell 42 rooted in Path (42),7.112847561,1
Cell 43 rooted in Path (43),11.56267225,1
Cell 40 rooted in Path (40),1.167219988,1
Cell 41 rooted in Path (41),1.386275248,1
Cell 39 rooted in Path (39),4.997462844,1
Cell 37 rooted in Path (37),5.480941193,1
Cell 38 rooted in Path (38),5.307253763,1
Cell 35 rooted in Path (35),6.565209411,1
Cell 36 rooted in Path (36),3.146501216,1
,595.3877152,
