\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),5.352621593,1
Cell 33 rooted in Path (33),3.656555425,1
Cell 77 rooted in Path (77),1.650698338,1
Cell 5 rooted in Path (5),30.01135292,1
Cell 34 rooted in Path (34),6.293002432,1
Cell 2 rooted in Path (2),15.96712912,1
Cell 31 rooted in Path (31),11.87246317,1
Cell 75 rooted in Path (75),2.289072147,1
Cell 3 rooted in Path (3),6.584001382,1
Cell 32 rooted in Path (32),14.59964584,1
Cell 76 rooted in Path (76),6.939160131,1
Cell 73 rooted in Path (73),4.030506145,1
Cell 1 rooted in Path (1),24.53819562,1
Cell 30 rooted in Path (30),2.863286156,1
Cell 74 rooted in Path (74),2.817918326,1
Cell 71 rooted in Path (71),6.055155202,1
Cell 72 rooted in Path (72),11.09798588,1
Cell 70 rooted in Path (70),3.392132335,1
Cell 8 rooted in Path (8),18.33915304,1
Cell 9 rooted in Path (9),13.08505099,1
Cell 6 rooted in Path (6),24.62114739,1
Cell 7 rooted in Path (7),6.009787372,1
Cell 28 rooted in Path (28),2.334439977,1
Cell 29 rooted in Path (29),5.042830673,1
Cell 26 rooted in Path (26),14.47132624,1
Cell 27 rooted in Path (27),22.30549938,1
Cell 24 rooted in Path (24),30.42288758,1
Cell 68 rooted in Path (68),4.578144294,1
Cell 25 rooted in Path (25),18.2374093,1
Cell 69 rooted in Path (69),3.456292136,1
Cell 22 rooted in Path (22),22.58871444,1
Cell 66 rooted in Path (66),1.805593798,1
Cell 23 rooted in Path (23),5.480941193,1
Cell 67 rooted in Path (67),12.54842092,1
Cell 20 rooted in Path (20),25.72420758,1
Cell 64 rooted in Path (64),2.708390697,1
Cell 21 rooted in Path (21),4.733039754,1
Cell 65 rooted in Path (65),2.289072147,1
Cell 62 rooted in Path (62),5.590468823,1
Cell 63 rooted in Path (63),3.456292136,1
Cell 60 rooted in Path (60),7.195799331,1
Cell 61 rooted in Path (61),8.07980426,1
Cell 19 rooted in Path (19),7.81538117,1
Cell 17 rooted in Path (17),29.48250674,1
Cell 18 rooted in Path (18),5.462149223,1
Cell 15 rooted in Path (15),2.334439977,1
Cell 59 rooted in Path (59),22.56992247,1
Cell 16 rooted in Path (16),18.27499324,1
Cell 13 rooted in Path (13),9.428495567,1
Cell 57 rooted in Path (57),2.863286156,1
Cell 14 rooted in Path (14),2.863286156,1
Cell 58 rooted in Path (58),1.960489257,1
Cell 11 rooted in Path (11),4.978670873,1
Cell 55 rooted in Path (55),25.47079257,1
Cell 12 rooted in Path (12),3.656555425,1
Cell 56 rooted in Path (56),10.08566135,1
Cell 53 rooted in Path (53),2.179544517,1
Cell 10 rooted in Path (10),8.18933189,1
Cell 54 rooted in Path (54),2.817918326,1
Cell 51 rooted in Path (51),3.301396676,1
Cell 52 rooted in Path (52),4.714247784,1
Cell 50 rooted in Path (50),8.12517209,1
Cell 48 rooted in Path (48),10.4408201,1
Cell 49 rooted in Path (49),6.957952101,1
Cell 46 rooted in Path (46),3.675347396,1
Cell 47 rooted in Path (47),6.674737041,1
Cell 44 rooted in Path (44),10.11223721,1
Cell 45 rooted in Path (45),8.937233329,1
Cell 42 rooted in Path (42),1.167219988,1
Cell 43 rooted in Path (43),5.197726133,1
Cell 40 rooted in Path (40),3.520451936,1
Cell 41 rooted in Path (41),1.431643078,1
Cell 39 rooted in Path (39),10.25934878,1
Cell 37 rooted in Path (37),3.985138315,1
Cell 38 rooted in Path (38),7.68706157,1
Cell 35 rooted in Path (35),3.501659965,1
Cell 36 rooted in Path (36),15.34754728,1
,700.5859613,
