\,Branch length (µm) [Single value],No. of compartments
Cell 55 rooted in Path (55),5.899931825,1
Cell 56 rooted in Path (56),3.902153157,1
Cell 53 rooted in Path (53),13.56021327,1
Cell 54 rooted in Path (54),4.544898928,1
Cell 51 rooted in Path (51),12.5458979,1
Cell 52 rooted in Path (52),4.475357571,1
Cell 60 rooted in Path (60),5.703239166,1
Cell 50 rooted in Path (50),10.31767945,1
Cell 59 rooted in Path (59),13.24625362,1
Cell 49 rooted in Path (49),8.360637166,1
Cell 57 rooted in Path (57),1.678876858,1
Cell 58 rooted in Path (58),8.92191017,1
,93.15704909,
