\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),11.12456174,1
Cell 11 rooted in Path (11),3.018181616,1
Cell 5 rooted in Path (5),2.489335437,1
Cell 12 rooted in Path (12),26.65680453,1
Cell 2 rooted in Path (2),8.40838715,1
Cell 31 rooted in Path (31),0.638373809,1
Cell 3 rooted in Path (3),7.860749,1
Cell 10 rooted in Path (10),5.307253763,1
Cell 1 rooted in Path (1),37.31667988,1
Cell 30 rooted in Path (30),2.972813786,1
Cell 8 rooted in Path (8),5.352621593,1
Cell 9 rooted in Path (9),8.01564446,1
Cell 6 rooted in Path (6),34.98223991,1
Cell 7 rooted in Path (7),7.860749,1
Cell 28 rooted in Path (28),13.67805697,1
Cell 29 rooted in Path (29),12.13688626,1
Cell 26 rooted in Path (26),5.088198503,1
Cell 27 rooted in Path (27),20.79090453,1
Cell 24 rooted in Path (24),2.598863067,1
Cell 25 rooted in Path (25),8.918441358,1
Cell 22 rooted in Path (22),7.569750051,1
Cell 23 rooted in Path (23),6.848424471,1
Cell 20 rooted in Path (20),5.042830673,1
Cell 21 rooted in Path (21),2.927445956,1
Cell 19 rooted in Path (19),5.526309023,1
Cell 17 rooted in Path (17),4.559352324,1
Cell 18 rooted in Path (18),1.431643078,1
Cell 15 rooted in Path (15),5.881467772,1
Cell 16 rooted in Path (16),2.753758526,1
Cell 13 rooted in Path (13),13.45900171,1
Cell 14 rooted in Path (14),3.920978515,1
,285.1367085,
