\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),25.29710514,1
Cell 33 rooted in Path (33),11.70978383,1
Cell 5 rooted in Path (5),6.912584271,1
Cell 34 rooted in Path (34),39.16441732,1
Cell 2 rooted in Path (2),2.398599777,1
Cell 31 rooted in Path (31),32.19089744,1
Cell 3 rooted in Path (3),5.280677904,1
Cell 32 rooted in Path (32),14.1725434,1
Cell 1 rooted in Path (1),32.13774572,1
Cell 30 rooted in Path (30),15.30996334,1
Cell 8 rooted in Path (8),3.784875025,1
Cell 9 rooted in Path (9),2.753758526,1
Cell 6 rooted in Path (6),2.070016887,1
Cell 7 rooted in Path (7),29.4449228,1
Cell 28 rooted in Path (28),2.863286156,1
Cell 29 rooted in Path (29),12.96773947,1
Cell 26 rooted in Path (26),6.009787372,1
Cell 27 rooted in Path (27),2.863286156,1
Cell 24 rooted in Path (24),29.37297911,1
Cell 25 rooted in Path (25),1.805593798,1
Cell 22 rooted in Path (22),4.185401604,1
Cell 23 rooted in Path (23),1.012324529,1
Cell 20 rooted in Path (20),18.21083344,1
Cell 21 rooted in Path (21),5.617044683,1
Cell 19 rooted in Path (19),10.83356279,1
Cell 17 rooted in Path (17),2.289072147,1
Cell 18 rooted in Path (18),23.14413648,1
Cell 15 rooted in Path (15),7.62290177,1
Cell 16 rooted in Path (16),1.850961627,1
Cell 13 rooted in Path (13),19.61590066,1
Cell 14 rooted in Path (14),15.08312419,1
Cell 55 rooted in Path (55),5.280677904,1
Cell 56 rooted in Path (56),9.711710627,1
Cell 53 rooted in Path (53),7.46800631,1
Cell 54 rooted in Path (54),31.08783725,1
Cell 100 rooted in Path (100),2.927445956,1
Cell 51 rooted in Path (51),6.191258692,1
Cell 101 rooted in Path (101),3.547027795,1
Cell 52 rooted in Path (52),9.711710627,1
Cell 102 rooted in Path (102),10.87893062,1
Cell 103 rooted in Path (103),7.305326961,1
Cell 50 rooted in Path (50),21.24002313,1
Cell 104 rooted in Path (104),6.519841581,1
Cell 105 rooted in Path (105),6.848424471,1
Cell 106 rooted in Path (106),3.611187595,1
Cell 107 rooted in Path (107),4.249561405,1
Cell 108 rooted in Path (108),3.720715225,1
Cell 109 rooted in Path (109),6.674737041,1
Cell 48 rooted in Path (48),5.480941193,1
Cell 49 rooted in Path (49),5.171150274,1
Cell 46 rooted in Path (46),2.179544517,1
Cell 47 rooted in Path (47),3.191869046,1
Cell 44 rooted in Path (44),5.745364283,1
Cell 45 rooted in Path (45),6.829632501,1
Cell 42 rooted in Path (42),5.790732113,1
Cell 110 rooted in Path (110),9.749294568,1
Cell 43 rooted in Path (43),9.556815168,1
Cell 111 rooted in Path (111),6.784264671,1
Cell 40 rooted in Path (40),4.532776465,1
Cell 112 rooted in Path (112),5.635836653,1
Cell 41 rooted in Path (41),21.85960497,1
Cell 113 rooted in Path (113),2.289072147,1
Cell 114 rooted in Path (114),3.675347396,1
Cell 115 rooted in Path (115),1.386275248,1
Cell 39 rooted in Path (39),8.525698669,1
Cell 37 rooted in Path (37),10.06686938,1
Cell 38 rooted in Path (38),10.67866733,1
Cell 35 rooted in Path (35),31.74500303,1
Cell 36 rooted in Path (36),17.48172397,1
Cell 77 rooted in Path (77),4.714247784,1
Cell 78 rooted in Path (78),3.766083055,1
Cell 75 rooted in Path (75),1.541170708,1
Cell 76 rooted in Path (76),1.431643078,1
Cell 73 rooted in Path (73),3.547027795,1
Cell 74 rooted in Path (74),4.249561405,1
Cell 71 rooted in Path (71),4.030506145,1
Cell 72 rooted in Path (72),7.51337414,1
Cell 70 rooted in Path (70),2.927445956,1
Cell 68 rooted in Path (68),3.920978515,1
Cell 69 rooted in Path (69),34.4080259,1
Cell 66 rooted in Path (66),18.39230476,1
Cell 67 rooted in Path (67),7.37727065,1
Cell 64 rooted in Path (64),1.650698338,1
Cell 65 rooted in Path (65),2.553495237,1
Cell 62 rooted in Path (62),3.656555425,1
Cell 63 rooted in Path (63),1.915121428,1
Cell 60 rooted in Path (60),9.292392078,1
Cell 61 rooted in Path (61),2.927445956,1
Cell 59 rooted in Path (59),6.784264671,1
Cell 57 rooted in Path (57),6.584001382,1
Cell 58 rooted in Path (58),20.66580912,1
Cell 11 rooted in Path (11),26.79290802,1
Cell 99 rooted in Path (99),7.048687761,1
Cell 12 rooted in Path (12),13.29632236,1
Cell 97 rooted in Path (97),4.249561405,1
Cell 10 rooted in Path (10),2.334439977,1
Cell 98 rooted in Path (98),4.094665945,1
Cell 95 rooted in Path (95),7.70585354,1
Cell 96 rooted in Path (96),10.24055681,1
Cell 93 rooted in Path (93),5.042830673,1
Cell 94 rooted in Path (94),5.926835602,1
Cell 91 rooted in Path (91),9.666342798,1
Cell 92 rooted in Path (92),8.325435379,1
Cell 90 rooted in Path (90),33.55838072,1
Cell 88 rooted in Path (88),4.823775414,1
Cell 89 rooted in Path (89),8.480330839,1
Cell 86 rooted in Path (86),10.92429845,1
Cell 87 rooted in Path (87),8.434963009,1
Cell 84 rooted in Path (84),3.720715225,1
Cell 85 rooted in Path (85),5.326045733,1
Cell 82 rooted in Path (82),5.462149223,1
Cell 83 rooted in Path (83),16.28792812,1
Cell 80 rooted in Path (80),14.13495946,1
Cell 81 rooted in Path (81),20.57184927,1
Cell 79 rooted in Path (79),4.978670873,1
,1108.584664,
