\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),2.863286156,1
Cell 33 rooted in Path (33),24.77604285,1
Cell 5 rooted in Path (5),2.289072147,1
Cell 34 rooted in Path (34),4.140033775,1
Cell 2 rooted in Path (2),5.681204483,1
Cell 31 rooted in Path (31),3.392132335,1
Cell 3 rooted in Path (3),2.179544517,1
Cell 32 rooted in Path (32),6.338370262,1
Cell 1 rooted in Path (1),32.10794567,1
Cell 30 rooted in Path (30),14.05200769,1
Cell 8 rooted in Path (8),22.53233853,1
Cell 9 rooted in Path (9),6.119315002,1
Cell 6 rooted in Path (6),1.121852159,1
Cell 7 rooted in Path (7),2.289072147,1
Cell 28 rooted in Path (28),2.334439977,1
Cell 29 rooted in Path (29),22.92508122,1
Cell 26 rooted in Path (26),4.668879954,1
Cell 27 rooted in Path (27),16.41624772,1
Cell 24 rooted in Path (24),10.64108339,1
Cell 25 rooted in Path (25),13.23994645,1
Cell 22 rooted in Path (22),4.887935214,1
Cell 23 rooted in Path (23),5.771940142,1
Cell 20 rooted in Path (20),1.322115448,1
Cell 21 rooted in Path (21),1.696066168,1
Cell 62 rooted in Path (62),7.777797229,1
Cell 63 rooted in Path (63),1.650698338,1
Cell 60 rooted in Path (60),5.771940142,1
Cell 61 rooted in Path (61),15.72928189,1
Cell 19 rooted in Path (19),2.398599777,1
Cell 17 rooted in Path (17),8.07980426,1
Cell 18 rooted in Path (18),2.663022867,1
Cell 15 rooted in Path (15),0.638373809,1
Cell 59 rooted in Path (59),4.532776465,1
Cell 16 rooted in Path (16),8.763545899,1
Cell 13 rooted in Path (13),17.7195712,1
Cell 57 rooted in Path (57),3.830242855,1
Cell 14 rooted in Path (14),15.90296932,1
Cell 58 rooted in Path (58),6.300786321,1
Cell 11 rooted in Path (11),7.81538117,1
Cell 55 rooted in Path (55),6.912584271,1
Cell 12 rooted in Path (12),2.553495237,1
Cell 56 rooted in Path (56),7.31311085,1
Cell 53 rooted in Path (53),5.790732113,1
Cell 10 rooted in Path (10),1.960489257,1
Cell 54 rooted in Path (54),2.817918326,1
Cell 51 rooted in Path (51),5.061622644,1
Cell 52 rooted in Path (52),3.547027795,1
Cell 50 rooted in Path (50),24.13766904,1
Cell 48 rooted in Path (48),1.805593798,1
Cell 49 rooted in Path (49),2.334439977,1
Cell 46 rooted in Path (46),1.915121428,1
Cell 47 rooted in Path (47),5.480941193,1
Cell 44 rooted in Path (44),2.753758526,1
Cell 45 rooted in Path (45),21.97691649,1
Cell 42 rooted in Path (42),6.055155202,1
Cell 43 rooted in Path (43),2.772550497,1
Cell 40 rooted in Path (40),3.456292136,1
Cell 41 rooted in Path (41),15.87639346,1
Cell 39 rooted in Path (39),0.528846179,1
Cell 37 rooted in Path (37),18.8116233,1
Cell 38 rooted in Path (38),1.915121428,1
Cell 35 rooted in Path (35),4.140033775,1
Cell 36 rooted in Path (36),6.346154151,1
,479.624336,
