\,Branch length (µm) [Single value],No. of compartments
Cell 64 rooted in Path (64),3.127709246,1
Cell 62 rooted in Path (62),7.51337414,1
Cell 63 rooted in Path (63),4.449824694,1
Cell 60 rooted in Path (60),6.98452796,1
Cell 61 rooted in Path (61),8.790121758,1
Cell 59 rooted in Path (59),6.98452796,1
Cell 58 rooted in Path (58),9.738286487,1
,47.58837225,
