\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),2.334439977,1
Cell 11 rooted in Path (11),8.106380119,1
Cell 5 rooted in Path (5),4.559352324,1
Cell 12 rooted in Path (12),2.663022867,1
Cell 2 rooted in Path (2),34.30305796,1
Cell 3 rooted in Path (3),3.565819766,1
Cell 10 rooted in Path (10),1.431643078,1
Cell 1 rooted in Path (1),32.52726422,1
Cell 8 rooted in Path (8),2.379807807,1
Cell 9 rooted in Path (9),4.249561405,1
Cell 6 rooted in Path (6),7.46800631,1
Cell 7 rooted in Path (7),3.146501216,1
Cell 13 rooted in Path (13),4.623512124,1
Cell 14 rooted in Path (14),1.431643078,1
,112.7900123,
