\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),10.47840404,1
Cell 11 rooted in Path (11),3.501659965,1
Cell 5 rooted in Path (5),6.055155202,1
Cell 12 rooted in Path (12),11.49072857,1
Cell 2 rooted in Path (2),37.68740641,1
Cell 3 rooted in Path (3),11.9819908,1
Cell 10 rooted in Path (10),2.817918326,1
Cell 1 rooted in Path (1),14.48233432,1
Cell 8 rooted in Path (8),2.115384717,1
Cell 9 rooted in Path (9),4.559352324,1
Cell 6 rooted in Path (6),14.6903815,1
Cell 7 rooted in Path (7),3.036973586,1
Cell 17 rooted in Path (17),2.908653986,1
Cell 18 rooted in Path (18),7.68706157,1
Cell 15 rooted in Path (15),1.012324529,1
Cell 16 rooted in Path (16),3.894402655,1
Cell 13 rooted in Path (13),9.466079508,1
Cell 14 rooted in Path (14),2.070016887,1
,149.9362289,
