\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),18.60357613,1
Cell 11 rooted in Path (11),17.55366766,1
Cell 5 rooted in Path (5),6.210050662,1
Cell 12 rooted in Path (12),6.565209411,1
Cell 2 rooted in Path (2),11.07919391,1
Cell 3 rooted in Path (3),5.790732113,1
Cell 10 rooted in Path (10),6.538633552,1
Cell 1 rooted in Path (1),10.02150155,1
Cell 8 rooted in Path (8),1.850961627,1
Cell 9 rooted in Path (9),2.598863067,1
Cell 6 rooted in Path (6),5.416781393,1
Cell 7 rooted in Path (7),12.55620481,1
Cell 19 rooted in Path (19),1.121852159,1
Cell 17 rooted in Path (17),2.224912347,1
Cell 18 rooted in Path (18),1.276747618,1
Cell 15 rooted in Path (15),7.57753394,1
Cell 16 rooted in Path (16),13.0131073,1
Cell 13 rooted in Path (13),20.33722623,1
Cell 14 rooted in Path (14),15.61197037,1
,165.9487258,
