\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),1.0576923585429014,1
Cell 33 rooted in Path (33),26.8836436756904,1
Cell 5 rooted in Path (5),3.4109243058792464,1
Cell 34 rooted in Path (34),9.466079508115751,1
Cell 2 rooted in Path (2),24.75725087721553,1
Cell 31 rooted in Path (31),24.3411565202668,1
Cell 3 rooted in Path (3),5.507517052577941,1
Cell 32 rooted in Path (32),3.0369735863118175,1
Cell 1 rooted in Path (1),9.329976018798865,1
Cell 30 rooted in Path (30),4.57814429435387,1
Cell 71 rooted in Path (71),5.397989422646224,1
Cell 70 rooted in Path (70),0.9027968988388878,1
Cell 8 rooted in Path (8),16.624294898667483,1
Cell 9 rooted in Path (9),5.635836652896768,1
Cell 6 rooted in Path (6),33.43006111642414,1
Cell 7 rooted in Path (7),21.11948742247483,1
Cell 28 rooted in Path (28),4.5593523239667455,1
Cell 29 rooted in Path (29),4.6688799538984584,1
Cell 26 rooted in Path (26),4.668879953898464,1
Cell 27 rooted in Path (27),4.623512124126156,1
Cell 24 rooted in Path (24),18.641160067210613,1
Cell 68 rooted in Path (68),3.5016599654238485,1
Cell 25 rooted in Path (25),7.88732485929947,1
Cell 69 rooted in Path (69),4.185401604399308,1
Cell 22 rooted in Path (22),4.468616664422153,1
Cell 66 rooted in Path (66),2.972813786152396,1
Cell 23 rooted in Path (23),18.127881665935288,1
Cell 67 rooted in Path (67),11.188721535247003,1
Cell 20 rooted in Path (20),2.5534952368126618,1
Cell 64 rooted in Path (64),4.1854016043993125,1
Cell 21 rooted in Path (21),9.57560713804748,1
Cell 65 rooted in Path (65),13.889328342765618,1
Cell 62 rooted in Path (62),7.3131108502557085,1
Cell 63 rooted in Path (63),8.891865499072011,1
Cell 60 rooted in Path (60),2.7083906965166693,1
Cell 61 rooted in Path (61),7.505590250733971,1
Cell 19 rooted in Path (19),5.197726133169916,1
Cell 17 rooted in Path (17),8.034436430005428,1
Cell 18 rooted in Path (18),4.623512124126163,1
Cell 15 rooted in Path (15),2.1341766874729116,1
Cell 59 rooted in Path (59),5.326045733488752,1
Cell 16 rooted in Path (16),3.656555425127854,1
Cell 13 rooted in Path (13),6.538633551735661,1
Cell 57 rooted in Path (57),2.4893354366532447,1
Cell 14 rooted in Path (14),13.825168542606212,1
Cell 58 rooted in Path (58),2.8632861562206813,1
Cell 11 rooted in Path (11),35.34518254403364,1
Cell 55 rooted in Path (55),12.61258072435929,1
Cell 12 rooted in Path (12),6.784264670984267,1
Cell 56 rooted in Path (56),35.86302064191601,1
Cell 53 rooted in Path (53),4.404456864262733,1
Cell 10 rooted in Path (10),1.1672199884746208,1
Cell 54 rooted in Path (54),2.553495236812659,1
Cell 51 rooted in Path (51),1.9604892573817951,1
Cell 52 rooted in Path (52),3.9851383149229997,1
Cell 50 rooted in Path (50),2.443967606880949,1
Cell 48 rooted in Path (48),5.5904688231244695,1
Cell 49 rooted in Path (49),9.594399108434597,1
Cell 46 rooted in Path (46),13.934696172537922,1
Cell 47 rooted in Path (47),3.7660830550595725,1
Cell 44 rooted in Path (44),12.729892243289065,1
Cell 45 rooted in Path (45),8.899649388070076,1
Cell 42 rooted in Path (42),36.35750707280423,1
Cell 43 rooted in Path (43),18.01835403600357,1
Cell 40 rooted in Path (40),4.404456864262745,1
Cell 41 rooted in Path (41),27.80523254491642,1
Cell 39 rooted in Path (39),27.057331105781554,1
Cell 37 rooted in Path (37),5.307253763101625,1
Cell 38 rooted in Path (38),6.145890861781107,1
Cell 35 rooted in Path (35),3.0369735863118117,1
Cell 36 rooted in Path (36),10.504979896271543,1
