\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),4.075873974,1
Cell 33 rooted in Path (33),3.410924306,1
Cell 5 rooted in Path (5),2.817918326,1
Cell 34 rooted in Path (34),5.635836653,1
Cell 2 rooted in Path (2),21.31975071,1
Cell 31 rooted in Path (31),6.584001382,1
Cell 3 rooted in Path (3),2.972813786,1
Cell 32 rooted in Path (32),3.456292136,1
Cell 1 rooted in Path (1),12.02735863,1
Cell 30 rooted in Path (30),3.565819766,1
Cell 8 rooted in Path (8),1.805593798,1
Cell 9 rooted in Path (9),8.215907749,1
Cell 6 rooted in Path (6),8.01564446,1
Cell 7 rooted in Path (7),1.805593798,1
Cell 28 rooted in Path (28),4.733039754,1
Cell 29 rooted in Path (29),13.05847513,1
Cell 26 rooted in Path (26),2.289072147,1
Cell 27 rooted in Path (27),2.443967607,1
Cell 24 rooted in Path (24),1.650698338,1
Cell 25 rooted in Path (25),1.167219988,1
Cell 22 rooted in Path (22),4.249561405,1
Cell 23 rooted in Path (23),1.586538538,1
Cell 20 rooted in Path (20),3.036973586,1
Cell 21 rooted in Path (21),14.93601262,1
Cell 19 rooted in Path (19),4.823775414,1
Cell 17 rooted in Path (17),4.623512124,1
Cell 18 rooted in Path (18),3.565819766,1
Cell 15 rooted in Path (15),3.392132335,1
Cell 16 rooted in Path (16),6.629369211,1
Cell 13 rooted in Path (13),2.289072147,1
Cell 14 rooted in Path (14),4.823775414,1
Cell 55 rooted in Path (55),2.224912347,1
Cell 56 rooted in Path (56),10.87893062,1
Cell 53 rooted in Path (53),2.553495237,1
Cell 54 rooted in Path (54),4.468616664,1
Cell 100 rooted in Path (100),6.055155202,1
Cell 51 rooted in Path (51),6.183474803,1
Cell 101 rooted in Path (101),5.462149223,1
Cell 52 rooted in Path (52),40.24412584,1
Cell 102 rooted in Path (102),4.030506145,1
Cell 103 rooted in Path (103),3.237236876,1
Cell 50 rooted in Path (50),1.760225968,1
Cell 104 rooted in Path (104),1.541170708,1
Cell 48 rooted in Path (48),18.69431179,1
Cell 49 rooted in Path (49),5.545100993,1
Cell 46 rooted in Path (46),11.38120094,1
Cell 47 rooted in Path (47),2.398599777,1
Cell 44 rooted in Path (44),9.201656418,1
Cell 45 rooted in Path (45),8.635226298,1
Cell 42 rooted in Path (42),1.541170708,1
Cell 43 rooted in Path (43),1.696066168,1
Cell 40 rooted in Path (40),18.33915304,1
Cell 41 rooted in Path (41),4.404456864,1
Cell 39 rooted in Path (39),9.311184048,1
Cell 37 rooted in Path (37),2.972813786,1
Cell 38 rooted in Path (38),2.243704317,1
Cell 35 rooted in Path (35),2.334439977,1
Cell 36 rooted in Path (36),10.91651456,1
Cell 77 rooted in Path (77),15.23801965,1
Cell 78 rooted in Path (78),4.623512124,1
Cell 75 rooted in Path (75),37.87210192,1
Cell 76 rooted in Path (76),5.662412512,1
Cell 73 rooted in Path (73),2.224912347,1
Cell 74 rooted in Path (74),4.513984494,1
Cell 71 rooted in Path (71),2.863286156,1
Cell 72 rooted in Path (72),2.489335437,1
Cell 70 rooted in Path (70),29.89081721,1
Cell 68 rooted in Path (68),4.668879954,1
Cell 69 rooted in Path (69),3.036973586,1
Cell 66 rooted in Path (66),15.17385985,1
Cell 67 rooted in Path (67),3.675347396,1
Cell 64 rooted in Path (64),9.027968988,1
Cell 65 rooted in Path (65),9.620974968,1
Cell 62 rooted in Path (62),1.650698338,1
Cell 63 rooted in Path (63),24.08451732,1
Cell 60 rooted in Path (60),1.805593798,1
Cell 61 rooted in Path (61),1.805593798,1
Cell 59 rooted in Path (59),1.431643078,1
Cell 57 rooted in Path (57),1.057692359,1
Cell 58 rooted in Path (58),24.18626106,1
Cell 11 rooted in Path (11),3.036973586,1
Cell 99 rooted in Path (99),4.997462844,1
Cell 12 rooted in Path (12),2.817918326,1
Cell 97 rooted in Path (97),6.055155202,1
Cell 10 rooted in Path (10),3.127709246,1
Cell 98 rooted in Path (98),4.449824694,1
Cell 95 rooted in Path (95),3.894402655,1
Cell 96 rooted in Path (96),4.887935214,1
Cell 93 rooted in Path (93),8.937233329,1
Cell 94 rooted in Path (94),3.720715225,1
Cell 91 rooted in Path (91),5.352621593,1
Cell 92 rooted in Path (92),6.693529011,1
Cell 90 rooted in Path (90),3.301396676,1
Cell 88 rooted in Path (88),5.416781393,1
Cell 89 rooted in Path (89),2.817918326,1
Cell 86 rooted in Path (86),5.243093963,1
Cell 87 rooted in Path (87),3.766083055,1
Cell 84 rooted in Path (84),28.98023642,1
Cell 85 rooted in Path (85),4.030506145,1
Cell 82 rooted in Path (82),2.972813786,1
Cell 83 rooted in Path (83),0.902796899,1
Cell 80 rooted in Path (80),2.070016887,1
Cell 81 rooted in Path (81),17.37998023,1
Cell 79 rooted in Path (79),7.48679828,1
,712.2082336,
