\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),7.331902821,1
Cell 11 rooted in Path (11),16.3676557,1
Cell 33 rooted in Path (33),4.978670873,1
Cell 5 rooted in Path (5),6.055155202,1
Cell 12 rooted in Path (12),11.01503411,1
Cell 34 rooted in Path (34),5.243093963,1
Cell 2 rooted in Path (2),16.91529385,1
Cell 31 rooted in Path (31),2.817918326,1
Cell 3 rooted in Path (3),15.36633925,1
Cell 10 rooted in Path (10),2.334439977,1
Cell 32 rooted in Path (32),3.811450885,1
Cell 1 rooted in Path (1),16.05008089,1
Cell 30 rooted in Path (30),9.099912678,1
Cell 8 rooted in Path (8),1.869753598,1
Cell 9 rooted in Path (9),13.60611328,1
Cell 6 rooted in Path (6),1.167219988,1
Cell 7 rooted in Path (7),2.179544517,1
Cell 28 rooted in Path (28),2.663022867,1
Cell 29 rooted in Path (29),2.508127407,1
Cell 26 rooted in Path (26),2.598863067,1
Cell 48 rooted in Path (48),2.598863067,1
Cell 27 rooted in Path (27),3.191869046,1
Cell 24 rooted in Path (24),4.933303044,1
Cell 46 rooted in Path (46),2.334439977,1
Cell 25 rooted in Path (25),3.830242855,1
Cell 47 rooted in Path (47),2.289072147,1
Cell 22 rooted in Path (22),2.115384717,1
Cell 44 rooted in Path (44),2.134176687,1
Cell 23 rooted in Path (23),5.699996453,1
Cell 45 rooted in Path (45),2.489335437,1
Cell 20 rooted in Path (20),3.830242855,1
Cell 42 rooted in Path (42),1.805593798,1
Cell 21 rooted in Path (21),8.280067549,1
Cell 43 rooted in Path (43),2.334439977,1
Cell 40 rooted in Path (40),2.070016887,1
Cell 41 rooted in Path (41),2.772550497,1
Cell 19 rooted in Path (19),2.489335437,1
Cell 17 rooted in Path (17),5.088198503,1
Cell 39 rooted in Path (39),2.772550497,1
Cell 18 rooted in Path (18),6.720104871,1
Cell 15 rooted in Path (15),6.538633552,1
Cell 37 rooted in Path (37),4.075873974,1
Cell 16 rooted in Path (16),1.586538538,1
Cell 38 rooted in Path (38),2.663022867,1
Cell 13 rooted in Path (13),5.307253763,1
Cell 35 rooted in Path (35),6.036363232,1
Cell 14 rooted in Path (14),5.681204483,1
Cell 36 rooted in Path (36),9.602182997,1
,255.2504509,
