\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),26.66458842,1
Cell 33 rooted in Path (33),3.301396676,1
Cell 5 rooted in Path (5),5.416781393,1
Cell 34 rooted in Path (34),18.09352192,1
Cell 2 rooted in Path (2),8.654018269,1
Cell 31 rooted in Path (31),1.915121428,1
Cell 3 rooted in Path (3),6.191258692,1
Cell 32 rooted in Path (32),1.805593798,1
Cell 1 rooted in Path (1),9.027968988,1
Cell 30 rooted in Path (30),4.604720154,1
Cell 8 rooted in Path (8),7.84195703,1
Cell 9 rooted in Path (9),2.224912347,1
Cell 6 rooted in Path (6),6.648161182,1
Cell 7 rooted in Path (7),9.447287538,1
Cell 28 rooted in Path (28),10.06686938,1
Cell 29 rooted in Path (29),7.003319931,1
Cell 26 rooted in Path (26),5.571676853,1
Cell 27 rooted in Path (27),15.96712912,1
Cell 24 rooted in Path (24),4.140033775,1
Cell 25 rooted in Path (25),3.301396676,1
Cell 22 rooted in Path (22),5.171150274,1
Cell 23 rooted in Path (23),7.505590251,1
Cell 20 rooted in Path (20),1.696066168,1
Cell 21 rooted in Path (21),26.39238144,1
Cell 19 rooted in Path (19),6.164682832,1
Cell 17 rooted in Path (17),10.41424424,1
Cell 18 rooted in Path (18),9.137496618,1
Cell 15 rooted in Path (15),11.01503411,1
Cell 16 rooted in Path (16),2.443967607,1
Cell 13 rooted in Path (13),19.4610052,1
Cell 14 rooted in Path (14),5.088198503,1
Cell 11 rooted in Path (11),5.088198503,1
Cell 12 rooted in Path (12),13.36826605,1
Cell 53 rooted in Path (53),2.179544517,1
Cell 10 rooted in Path (10),4.978670873,1
Cell 51 rooted in Path (51),2.663022867,1
Cell 52 rooted in Path (52),1.541170708,1
Cell 50 rooted in Path (50),2.443967607,1
Cell 48 rooted in Path (48),6.912584271,1
Cell 49 rooted in Path (49),0.902796899,1
Cell 46 rooted in Path (46),11.39999291,1
Cell 47 rooted in Path (47),4.294929234,1
Cell 44 rooted in Path (44),9.602182997,1
Cell 45 rooted in Path (45),10.01371766,1
Cell 42 rooted in Path (42),5.106990474,1
Cell 43 rooted in Path (43),6.073947173,1
Cell 40 rooted in Path (40),15.28338748,1
Cell 41 rooted in Path (41),6.584001382,1
Cell 39 rooted in Path (39),11.84588731,1
Cell 37 rooted in Path (37),8.635226298,1
Cell 38 rooted in Path (38),11.25288134,1
Cell 35 rooted in Path (35),26.0981583,1
Cell 36 rooted in Path (36),21.87517275,1
,450.5222284,
