\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),13.12263493,1
Cell 33 rooted in Path (33),5.088198503,1
Cell 5 rooted in Path (5),8.170539919,1
Cell 34 rooted in Path (34),6.036363232,1
Cell 2 rooted in Path (2),21.68591754,1
Cell 31 rooted in Path (31),9.420711678,1
Cell 3 rooted in Path (3),13.8517444,1
Cell 32 rooted in Path (32),4.468616664,1
Cell 1 rooted in Path (1),7.59632591,1
Cell 30 rooted in Path (30),2.772550497,1
Cell 8 rooted in Path (8),3.720715225,1
Cell 9 rooted in Path (9),3.875610685,1
Cell 6 rooted in Path (6),2.598863067,1
Cell 7 rooted in Path (7),1.760225968,1
Cell 28 rooted in Path (28),10.13102918,1
Cell 29 rooted in Path (29),16.12202458,1
Cell 26 rooted in Path (26),12.70331638,1
Cell 27 rooted in Path (27),1.915121428,1
Cell 24 rooted in Path (24),3.656555425,1
Cell 25 rooted in Path (25),9.182864448,1
Cell 22 rooted in Path (22),14.92822873,1
Cell 23 rooted in Path (23),4.140033775,1
Cell 20 rooted in Path (20),18.56599219,1
Cell 21 rooted in Path (21),11.18872154,1
Cell 19 rooted in Path (19),2.708390697,1
Cell 17 rooted in Path (17),4.404456864,1
Cell 18 rooted in Path (18),5.216518104,1
Cell 15 rooted in Path (15),8.234699719,1
Cell 59 rooted in Path (59),3.675347396,1
Cell 16 rooted in Path (16),3.018181616,1
Cell 13 rooted in Path (13),4.887935214,1
Cell 57 rooted in Path (57),2.070016887,1
Cell 14 rooted in Path (14),2.115384717,1
Cell 58 rooted in Path (58),6.255418492,1
Cell 11 rooted in Path (11),4.733039754,1
Cell 55 rooted in Path (55),2.070016887,1
Cell 12 rooted in Path (12),0.638373809,1
Cell 56 rooted in Path (56),10.10445332,1
Cell 53 rooted in Path (53),16.54134313,1
Cell 10 rooted in Path (10),4.094665945,1
Cell 54 rooted in Path (54),3.547027795,1
Cell 51 rooted in Path (51),9.802446287,1
Cell 52 rooted in Path (52),3.237236876,1
Cell 50 rooted in Path (50),7.51337414,1
Cell 48 rooted in Path (48),10.96966628,1
Cell 49 rooted in Path (49),2.553495237,1
Cell 46 rooted in Path (46),5.171150274,1
Cell 47 rooted in Path (47),19.67227657,1
Cell 44 rooted in Path (44),3.191869046,1
Cell 45 rooted in Path (45),4.578144294,1
Cell 42 rooted in Path (42),4.249561405,1
Cell 43 rooted in Path (43),16.88871799,1
Cell 40 rooted in Path (40),4.623512124,1
Cell 41 rooted in Path (41),4.404456864,1
Cell 39 rooted in Path (39),35.5642378,1
Cell 37 rooted in Path (37),7.441430451,1
Cell 38 rooted in Path (38),19.15121428,1
Cell 35 rooted in Path (35),9.685134768,1
Cell 36 rooted in Path (36),8.937233329,1
,468.6533342,
