\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),1.696066168,1
Cell 11 rooted in Path (11),7.20358322,1
Cell 5 rooted in Path (5),2.663022867,1
Cell 12 rooted in Path (12),3.811450885,1
Cell 2 rooted in Path (2),18.73967962,1
Cell 3 rooted in Path (3),16.44282358,1
Cell 10 rooted in Path (10),4.404456864,1
Cell 1 rooted in Path (1),36.25576333,1
Cell 8 rooted in Path (8),4.185401604,1
Cell 9 rooted in Path (9),2.708390697,1
Cell 6 rooted in Path (6),3.127709246,1
Cell 7 rooted in Path (7),5.771940142,1
Cell 17 rooted in Path (17),5.326045733,1
Cell 15 rooted in Path (15),2.489335437,1
Cell 16 rooted in Path (16),5.307253763,1
Cell 13 rooted in Path (13),3.282604706,1
Cell 14 rooted in Path (14),8.480330839,1
,131.8958587,
