\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),3.392132335,1
Cell 33 rooted in Path (33),3.346764506,1
Cell 5 rooted in Path (5),17.28924457,1
Cell 34 rooted in Path (34),11.07919391,1
Cell 2 rooted in Path (2),9.602182997,1
Cell 31 rooted in Path (31),1.960489257,1
Cell 3 rooted in Path (3),9.401919708,1
Cell 32 rooted in Path (32),7.68706157,1
Cell 1 rooted in Path (1),37.562311,1
Cell 30 rooted in Path (30),8.827705699,1
Cell 8 rooted in Path (8),1.167219988,1
Cell 9 rooted in Path (9),2.972813786,1
Cell 6 rooted in Path (6),18.98531074,1
Cell 7 rooted in Path (7),1.805593798,1
Cell 28 rooted in Path (28),2.224912347,1
Cell 29 rooted in Path (29),1.960489257,1
Cell 26 rooted in Path (26),5.699996453,1
Cell 27 rooted in Path (27),5.042830673,1
Cell 24 rooted in Path (24),17.83688272,1
Cell 25 rooted in Path (25),2.024649058,1
Cell 22 rooted in Path (22),5.462149223,1
Cell 23 rooted in Path (23),4.823775414,1
Cell 20 rooted in Path (20),5.133566333,1
Cell 21 rooted in Path (21),6.255418492,1
Cell 19 rooted in Path (19),7.59632591,1
Cell 17 rooted in Path (17),3.894402655,1
Cell 18 rooted in Path (18),18.34693693,1
Cell 15 rooted in Path (15),1.696066168,1
Cell 16 rooted in Path (16),12.72989224,1
Cell 13 rooted in Path (13),17.42534806,1
Cell 14 rooted in Path (14),7.887324859,1
Cell 11 rooted in Path (11),2.179544517,1
Cell 12 rooted in Path (12),7.951484659,1
Cell 10 rooted in Path (10),2.708390697,1
Cell 51 rooted in Path (51),1.541170708,1
Cell 50 rooted in Path (50),2.024649058,1
Cell 48 rooted in Path (48),20.71117695,1
Cell 49 rooted in Path (49),2.489335437,1
Cell 46 rooted in Path (46),1.012324529,1
Cell 47 rooted in Path (47),1.960489257,1
Cell 44 rooted in Path (44),2.817918326,1
Cell 45 rooted in Path (45),5.526309023,1
Cell 42 rooted in Path (42),2.289072147,1
Cell 43 rooted in Path (43),8.563282609,1
Cell 40 rooted in Path (40),16.13303266,1
Cell 41 rooted in Path (41),5.881467772,1
Cell 39 rooted in Path (39),7.003319931,1
Cell 37 rooted in Path (37),1.915121428,1
Cell 38 rooted in Path (38),2.443967607,1
Cell 35 rooted in Path (35),1.276747618,1
Cell 36 rooted in Path (36),2.334439977,1
,359.8841556,
