\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),17.68198726,1
Cell 11 rooted in Path (11),0.638373809,1
Cell 5 rooted in Path (5),19.3326856,1
Cell 2 rooted in Path (2),4.714247784,1
Cell 3 rooted in Path (3),6.584001382,1
Cell 10 rooted in Path (10),1.960489257,1
Cell 1 rooted in Path (1),35.60960563,1
Cell 8 rooted in Path (8),4.249561405,1
Cell 9 rooted in Path (9),1.322115448,1
Cell 6 rooted in Path (6),5.726572312,1
Cell 7 rooted in Path (7),12.42010132,1
,110.2397412,
