\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),16.71503055821207,1
Cell 33 rooted in Path (33),22.55113050058516,1
Cell 5 rooted in Path (5),6.429105921803961,1
Cell 34 rooted in Path (34),11.188721535247012,1
Cell 2 rooted in Path (2),14.380590581262839,1
Cell 31 rooted in Path (31),13.595105201353716,1
Cell 3 rooted in Path (3),13.851744401991377,1
Cell 32 rooted in Path (32),13.515377623198198,1
Cell 1 rooted in Path (1),35.06196748401079,1
Cell 30 rooted in Path (30),7.003319930847699,1
Cell 8 rooted in Path (8),52.26826028072012,1
Cell 9 rooted in Path (9),9.692918656977252,1
Cell 6 rooted in Path (6),13.897112231763687,1
Cell 7 rooted in Path (7),5.83609994237308,1
Cell 28 rooted in Path (28),8.963809188229485,1
Cell 29 rooted in Path (29),33.92132335492134,1
Cell 26 rooted in Path (26),16.076656749008894,1
Cell 27 rooted in Path (27),10.659875355975553,1
Cell 24 rooted in Path (24),21.19143111163229,1
Cell 25 rooted in Path (25),42.52218990497245,1
Cell 22 rooted in Path (22),16.851134047528955,1
Cell 23 rooted in Path (23),2.6442308963572536,1
Cell 20 rooted in Path (20),33.9135394659233,1
Cell 21 rooted in Path (21),23.790294178217238,1
Cell 19 rooted in Path (19),30.903141738996638,1
Cell 17 rooted in Path (17),31.0768291690878,1
Cell 18 rooted in Path (18),17.927618376458977,1
Cell 15 rooted in Path (15),12.665732443129652,1
Cell 59 rooted in Path (59),3.392132335492155,1
Cell 16 rooted in Path (16),15.948337148690076,1
Cell 13 rooted in Path (13),34.19675452594617,1
Cell 57 rooted in Path (57),5.507517052577932,1
Cell 14 rooted in Path (14),25.33146488625932,1
Cell 58 rooted in Path (58),9.840030227683231,1
Cell 11 rooted in Path (11),18.830415275297863,1
Cell 55 rooted in Path (55),4.3402970641033205,1
Cell 12 rooted in Path (12),22.9062892497655,1
Cell 56 rooted in Path (56),23.763718318832073,1
Cell 53 rooted in Path (53),9.447287537728654,1
Cell 10 rooted in Path (10),12.665732443129645,1
Cell 54 rooted in Path (54),7.796589199754872,1
Cell 51 rooted in Path (51),2.7083906965166786,1
Cell 52 rooted in Path (52),4.778407583830171,1
Cell 50 rooted in Path (50),9.337759907796942,1
Cell 48 rooted in Path (48),12.88478770299307,1
Cell 49 rooted in Path (49),13.285314281945682,1
Cell 46 rooted in Path (46),22.105236091860235,1
Cell 47 rooted in Path (47),9.33775990779692,1
Cell 44 rooted in Path (44),12.265205864177023,1
Cell 45 rooted in Path (45),16.760398387984363,1
Cell 42 rooted in Path (42),8.608650439049164,1
Cell 43 rooted in Path (43),11.381200935725271,1
Cell 40 rooted in Path (40),31.360044229110613,1
Cell 41 rooted in Path (41),18.037146006390703,1
Cell 39 rooted in Path (39),14.361798610875695,1
Cell 37 rooted in Path (37),16.741606417597232,1
Cell 38 rooted in Path (38),6.886008411917926,1
Cell 35 rooted in Path (35),4.714247783670767,1
Cell 36 rooted in Path (36),15.128492020397722,1
