\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),4.842567384,1
Cell 33 rooted in Path (33),60.80496703,1
Cell 5 rooted in Path (5),41.14369855,1
Cell 34 rooted in Path (34),33.32831738,1
Cell 2 rooted in Path (2),15.92176129,1
Cell 31 rooted in Path (31),30.81240608,1
Cell 3 rooted in Path (3),16.76039839,1
Cell 32 rooted in Path (32),14.89064479,1
Cell 1 rooted in Path (1),52.51711559,1
Cell 30 rooted in Path (30),23.07997668,1
Cell 8 rooted in Path (8),16.92630193,1
Cell 9 rooted in Path (9),5.106990474,1
Cell 6 rooted in Path (6),16.88871799,1
Cell 7 rooted in Path (7),21.7124934,1
Cell 28 rooted in Path (28),8.061012289,1
Cell 29 rooted in Path (29),24.20182884,1
Cell 26 rooted in Path (26),31.73399495,1
Cell 27 rooted in Path (27),45.06467706,1
Cell 24 rooted in Path (24),23.37097563,1
Cell 25 rooted in Path (25),14.14274335,1
Cell 22 rooted in Path (22),19.3326856,1
Cell 23 rooted in Path (23),9.794662398,1
Cell 20 rooted in Path (20),42.48460596,1
Cell 21 rooted in Path (21),22.13181195,1
Cell 19 rooted in Path (19),21.24780702,1
Cell 17 rooted in Path (17),23.4539274,1
Cell 18 rooted in Path (18),11.89125514,1
Cell 15 rooted in Path (15),17.55366766,1
Cell 16 rooted in Path (16),18.64894396,1
Cell 13 rooted in Path (13),48.43023354,1
Cell 14 rooted in Path (14),2.443967607,1
Cell 11 rooted in Path (11),33.45663698,1
Cell 12 rooted in Path (12),12.26520586,1
Cell 53 rooted in Path (53),2.708390697,1
Cell 10 rooted in Path (10),13.0131073,1
Cell 51 rooted in Path (51),2.863286156,1
Cell 52 rooted in Path (52),14.67158953,1
Cell 50 rooted in Path (50),18.43767259,1
Cell 48 rooted in Path (48),32.64457574,1
Cell 49 rooted in Path (49),6.191258692,1
Cell 46 rooted in Path (46),49.5520857,1
Cell 47 rooted in Path (47),27.37490591,1
Cell 44 rooted in Path (44),5.990995402,1
Cell 45 rooted in Path (45),2.334439977,1
Cell 42 rooted in Path (42),9.840030228,1
Cell 43 rooted in Path (43),25.29710514,1
Cell 40 rooted in Path (40),19.60489257,1
Cell 41 rooted in Path (41),9.492655368,1
Cell 39 rooted in Path (39),4.423248835,1
Cell 37 rooted in Path (37),21.86738886,1
Cell 38 rooted in Path (38),21.42927834,1
Cell 35 rooted in Path (35),18.41109673,1
Cell 36 rooted in Path (36),18.34693693,1
,1108.941941,
